Journal Data Filtered By: Selected Categories: DE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
ANNALS OF BOTANY,0305-7364,1095-8290,"PLANT SCIENCES - SCIE","26,980",4.357,"Q1",1.23,13.21%,5.488,4.114,1.678,0.01343,2.81394,1.363,86.596,167,11.0,11.9,92.78%,180,
THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,"PLANT SCIENCES - SCIE","25,124",5.699,"Q1",1.84,23.46%,5.565,4.924,1.512,0.01258,2.63587,1.232,92.092,245,8.4,12.5,87.19%,281,
JOURNAL OF ECOLOGY,0022-0477,1365-2745,"PLANT SCIENCES - SCIE","24,974",6.256,"Q1",1.93,13.11%,7.125,5.788,1.331,0.01843,3.86202,2.055,92.335,316,9.7,10.8,96.93%,326,
Annual Review of Plant Biology,1543-5008,1545-2123,"PLANT SCIENCES - SCIE","24,641",26.379,"Q1",n/a,1.15%,28.893,26.172,5.862,0.01308,2.74072,9.698,99.787,0,7.8,12.9,0.00%,29,
PLANTA,0032-0935,1432-2048,"PLANT SCIENCES - SCIE","23,776",4.116,"Q1",1.15,12.48%,4.316,4.016,0.932,0.01018,2.13347,0.911,83.191,192,9.6,13.8,87.27%,220,
PLANT DISEASE,0191-2917,1943-7692,"PLANT SCIENCES - SCIE","21,844",4.438,"Q1",0.84,1.61%,4.700,3.682,1.282,0.01238,2.59529,0.896,87.872,376,10.2,10.8,100.00%,376,
PLANT AND CELL PHYSIOLOGY,0032-0781,1471-9053,"PLANT SCIENCES - SCIE","21,654",4.927,"Q1",1.05,9.00%,5.516,4.738,1.590,0.01609,3.37161,1.450,72.351,147,9.0,10.5,91.30%,161,
PLANT SCIENCE,0168-9452,1873-2259,"PLANT SCIENCES - SCIE","20,176",4.729,"Q1",1.06,7.06%,5.132,4.583,1.273,0.01328,2.78235,1.111,77.544,280,9.1,9.8,88.89%,315,
PHYTOPATHOLOGY,0031-949X,1943-7684,"PLANT SCIENCES - SCIE","19,896",4.025,"Q1",1.10,3.37%,4.394,3.812,1.291,0.00882,1.84902,0.999,80.638,191,10.4,16.4,94.09%,203,
PLANT PHYSIOLOGY AND BIOCHEMISTRY,0981-9428,N/A,"PLANT SCIENCES - SCIE","19,501",4.270,"Q1",1.35,2.93%,4.816,3.965,1.083,0.01499,3.14191,0.804,86.170,523,8.6,6.3,96.67%,541,
AMERICAN JOURNAL OF BOTANY,0002-9122,1537-2197,"PLANT SCIENCES - SCIE","19,318",3.844,"Q1",1.01,15.53%,3.657,3.564,0.872,0.00922,1.93183,1.131,78.936,148,11.4,15.2,99.33%,149,
PHYSIOLOGIA PLANTARUM,0031-9317,1399-3054,"PLANT SCIENCES - SCIE","18,830",4.500,"Q1",1.48,8.49%,4.576,4.179,1.431,0.00628,1.31614,0.952,88.298,274,8.6,16.4,97.51%,281,
BMC PLANT BIOLOGY,1471-2229,1471-2229,"PLANT SCIENCES - SCIE","18,560",4.215,"Q1",1.30,100.00%,4.960,4.013,0.732,0.01921,4.02635,1.044,85.745,557,8.8,6.0,99.46%,560,
CURRENT OPINION IN PLANT BIOLOGY,1369-5266,1879-0356,"PLANT SCIENCES - SCIE","17,488",7.834,"Q1",1.01,16.61%,9.438,7.626,2.380,0.01791,3.75288,2.974,95.957,0,4.8,9.6,0.00%,108,
PLANT MOLECULAR BIOLOGY,0167-4412,1573-5028,"PLANT SCIENCES - SCIE","17,172",4.076,"Q1",1.02,10.78%,4.890,3.979,1.012,0.00763,1.59951,1.151,68.726,157,9.0,13.6,96.91%,162,
JOURNAL OF PLANT PHYSIOLOGY,0176-1617,1618-1328,"PLANT SCIENCES - SCIE","16,412",3.549,"Q1",1.06,3.35%,4.164,3.492,0.972,0.00823,1.72559,0.805,76.809,138,10.4,10.4,96.50%,143,
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,0098-8472,1873-7307,"PLANT SCIENCES - SCIE","16,198",5.545,"Q1",1.35,3.72%,5.990,5.275,1.293,0.01118,2.34388,1.054,85.358,265,8.8,7.6,97.07%,273,
Molecular Plant,1674-2052,1752-9867,"PLANT SCIENCES - SCIE","15,778",13.164,"Q1",2.87,21.73%,16.357,12.742,6.333,0.02686,5.62789,4.849,96.319,96,7.3,5.3,86.49%,111,
PLANTA MEDICA,0032-0943,1439-0221,"PLANT SCIENCES - SCIE","15,387",3.352,"Q2",1.01,0.89%,3.400,3.278,0.712,0.00439,0.91977,0.534,61.590,136,8.8,13.5,83.44%,163,
PHYTOMEDICINE,0944-7113,1618-095X,"PLANT SCIENCES - SCIE","15,074",5.340,"Q1",1.70,6.28%,5.161,5.193,1.799,0.00970,2.03276,0.750,86.800,192,6.5,6.7,89.72%,214,
MOLECULAR PLANT-MICROBE INTERACTIONS,0894-0282,1943-7706,"PLANT SCIENCES - SCIE","13,703",4.171,"Q1",1.00,5.07%,4.836,3.966,1.185,0.00682,1.42941,1.209,70.086,142,9.2,11.6,94.04%,151,
PLANT BIOTECHNOLOGY JOURNAL,1467-7644,1467-7652,"PLANT SCIENCES - SCIE","13,143",9.803,"Q1",2.88,100.00%,9.555,9.188,3.023,0.01840,3.85659,2.240,95.731,285,7.9,4.4,95.64%,298,
EUPHYTICA,0014-2336,1573-5060,"PLANT SCIENCES - SCIE","12,896",1.895,"Q3",0.72,9.81%,2.181,1.786,0.417,0.00592,1.24117,0.439,57.488,184,10.5,12.6,95.83%,192,
JOURNAL OF PHYCOLOGY,0022-3646,1529-8817,"PLANT SCIENCES - SCIE","11,073",2.923,"Q2",1.01,8.74%,3.091,2.582,0.847,0.00369,0.77336,0.727,74.163,164,11.3,15.9,96.47%,170,
PLANT CELL REPORTS,0721-7714,1432-203X,"PLANT SCIENCES - SCIE","10,913",4.570,"Q1",1.22,9.71%,4.463,4.466,0.883,0.00723,1.51665,0.923,88.723,148,9.1,8.9,90.80%,163,
Annual Review of Phytopathology,0066-4286,1545-2107,"PLANT SCIENCES - SCIE","10,431",13.078,"Q1",n/a,2.94%,17.000,12.941,1.059,0.00654,1.37082,4.926,98.085,0,8.4,12.5,0.00%,17,
JOURNAL OF VEGETATION SCIENCE,1100-9233,1654-1103,"PLANT SCIENCES - SCIE","9,842",2.685,"Q2",1.00,8.33%,3.641,2.423,0.850,0.00511,1.07162,0.906,65.785,147,11.1,13.0,100.00%,147,
Plant Signaling & Behavior,1559-2316,1559-2324,"PLANT SCIENCES - SCIE","9,784",2.247,"Q2",0.50,3.57%,2.369,2.161,0.478,0.00550,1.15286,0.547,36.943,202,9.0,8.6,90.18%,224,
Nature Plants,2055-026X,2055-0278,"PLANT SCIENCES - SCIE","9,424",15.793,"Q1",4.63,4.59%,17.349,15.366,4.522,0.03169,6.64082,6.071,98.936,131,7.5,3.2,94.93%,138,
MOLECULAR PLANT PATHOLOGY,1464-6722,1364-3703,"PLANT SCIENCES - SCIE","9,093",5.663,"Q1",1.60,60.87%,5.626,5.413,1.079,0.00884,1.85307,1.361,92.128,134,9.8,7.6,95.71%,140,
PLANT PATHOLOGY,0032-0862,1365-3059,"PLANT SCIENCES - SCIE","8,971",2.590,"Q2",0.96,10.43%,2.924,2.387,0.692,0.00514,1.07745,0.624,68.808,208,9.8,10.2,94.12%,221,
PHOTOSYNTHESIS RESEARCH,0166-8595,1573-5079,"PLANT SCIENCES - SCIE","8,943",3.573,"Q1",1.12,18.94%,3.674,3.162,1.304,0.00520,1.08953,0.895,77.234,122,11.6,11.5,97.60%,125,
PLANT CELL TISSUE AND ORGAN CULTURE,0167-6857,1573-5044,"PLANT SCIENCES - SCIE","8,625",2.711,"Q2",0.72,10.30%,2.730,2.094,0.788,0.00470,0.98502,0.417,51.675,243,9.7,8.5,93.46%,260,
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,1861-1664,"PLANT SCIENCES - SCIE","8,465",2.354,"Q2",0.63,7.52%,2.711,2.246,0.520,0.00584,1.22381,0.448,57.234,170,9.9,6.9,97.14%,175,
EUROPEAN JOURNAL OF PLANT PATHOLOGY,0929-1873,1573-8469,"PLANT SCIENCES - SCIE","8,363",1.907,"Q3",0.75,10.19%,2.022,1.776,0.510,0.00534,1.12040,0.401,58.897,292,10.9,8.8,100.00%,292,
PHARMACEUTICAL BIOLOGY,1388-0209,1744-5116,"PLANT SCIENCES - SCIE","8,346",3.503,"Q1",1.12,100.00%,3.594,3.360,0.528,0.00568,1.19092,0.515,65.026,130,6.7,6.4,91.55%,142,
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,0010-3624,1532-2416,"PLANT SCIENCES - SCIE","8,303",1.327,"Q3",0.33,0.00%,1.315,1.235,0.323,0.00263,0.55144,0.211,21.165,264,11.7,15.6,99.25%,266,
JOURNAL OF PLANT NUTRITION,0190-4167,1532-4087,"PLANT SCIENCES - SCIE","7,703",1.707,"Q3",0.46,0.74%,1.645,1.557,0.505,0.00276,0.57831,0.246,42.340,319,11.3,12.9,95.80%,333,
PLANT GROWTH REGULATION,0167-6903,1573-5087,"PLANT SCIENCES - SCIE","7,618",3.412,"Q1",0.91,6.67%,3.691,2.973,1.050,0.00386,0.80887,0.623,75.532,123,9.0,10.0,88.49%,139,
SOUTH AFRICAN JOURNAL OF BOTANY,0254-6299,1727-9321,"PLANT SCIENCES - SCIE","7,265",2.315,"Q2",0.71,37.84%,2.710,2.165,0.843,0.00550,1.15412,0.417,55.532,391,9.7,5.5,96.07%,407,
FUNCTIONAL PLANT BIOLOGY,1445-4408,1445-4416,"PLANT SCIENCES - SCIE","7,145",3.101,"Q2",0.91,4.55%,3.248,2.985,0.636,0.00355,0.74441,0.674,70.426,116,10.5,10.2,87.88%,132,
Agronomy-Basel,N/A,2073-4395,"PLANT SCIENCES - SCIE","7,099",3.417,"Q1",0.94,100.00%,3.640,2.671,0.783,0.00732,1.53396,0.520,79.462,1850,8.7,1.7,92.78%,1994,
WEED SCIENCE,0043-1745,1550-2759,"PLANT SCIENCES - SCIE","6,980",2.713,"Q2",0.93,10.66%,2.868,2.263,0.844,0.00275,0.57702,0.632,70.970,75,10.8,15.4,97.40%,77,
MOLECULAR BREEDING,1380-3743,1572-9788,"PLANT SCIENCES - SCIE","6,948",2.589,"Q2",0.88,10.71%,2.750,2.467,0.646,0.00511,1.07206,0.568,63.702,98,8.7,7.4,98.99%,99,
PLANT ECOLOGY,1385-0237,1573-5052,"PLANT SCIENCES - SCIE","6,906",1.854,"Q3",0.60,6.88%,2.194,1.800,0.409,0.00317,0.66566,0.549,43.806,115,11.8,12.4,100.00%,115,
Journal of Integrative Plant Biology,1672-9072,1744-7909,"PLANT SCIENCES - SCIE","6,749",7.061,"Q1",1.37,13.71%,6.002,6.677,3.511,0.00643,1.34854,1.555,89.248,116,8.4,6.9,85.93%,135,
AQUATIC BOTANY,0304-3770,1879-1522,"PLANT SCIENCES - SCIE","6,719",2.473,"Q2",0.77,1.32%,2.417,2.178,0.744,0.00214,0.44988,0.475,64.637,80,11.4,15.1,97.56%,82,
PLANT BIOLOGY,1435-8603,1438-8677,"PLANT SCIENCES - SCIE","6,510",3.081,"Q2",0.93,5.66%,2.972,2.968,1.136,0.00470,0.98473,0.669,69.574,163,10.7,8.3,92.61%,176,
Phytotaxa,1179-3155,1179-3163,"PLANT SCIENCES - SCIE","6,472",1.171,"Q3",0.37,0.00%,1.196,0.822,0.253,0.01033,2.16569,0.249,26.170,929,20.2,4.1,99.79%,931,
REVIEW OF PALAEOBOTANY AND PALYNOLOGY,0034-6667,1879-0615,"PLANT SCIENCES - SCIE","6,255",1.940,"Q2",0.73,2.95%,2.143,1.668,0.566,0.00317,0.66586,0.565,59.222,103,19.0,13.6,97.17%,106,
PROTOPLASMA,0033-183X,1615-6102,"PLANT SCIENCES - SCIE","6,176",3.356,"Q2",0.76,14.42%,3.298,3.122,1.025,0.00439,0.92019,0.597,51.915,151,10.8,7.6,94.38%,160,
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4074,1095-8339,"PLANT SCIENCES - SCIE","6,124",2.911,"Q2",0.77,1.82%,3.872,2.438,1.543,0.00569,1.19401,1.077,67.447,98,13.2,9.8,93.33%,105,
TAXON,0040-0262,1996-8175,"PLANT SCIENCES - SCIE","5,895",2.338,"Q2",0.68,10.29%,3.048,2.140,0.756,0.00412,0.86483,0.952,43.479,82,16.2,11.3,95.35%,86,
PAKISTAN JOURNAL OF BOTANY,0556-3321,2070-3368,"PLANT SCIENCES - SCIE","5,830",0.972,"Q4",0.32,0.00%,0.988,0.731,0.541,0.00227,0.47622,0.138,20.638,266,11.6,9.0,99.25%,268,
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,1436-8730,1522-2624,"PLANT SCIENCES - SCIE","5,761",2.426,"Q2",0.71,18.59%,3.029,2.346,0.506,0.00268,0.56328,0.589,56.110,79,10.7,10.5,97.53%,81,
Plants-Basel,N/A,2223-7747,"PLANT SCIENCES - SCIE","5,622",3.935,"Q1",0.95,100.00%,n/a,3.396,0.887,0.00646,1.35492,n/a,80.213,1529,8.9,1.5,85.42%,1790,
PLANT SYSTEMATICS AND EVOLUTION,0378-2697,1615-6110,"PLANT SCIENCES - SCIE","5,422",1.631,"Q3",0.48,10.04%,1.704,1.470,0.440,0.00249,0.52317,0.438,29.394,89,13.9,13.5,97.80%,91,
JOURNAL OF PLANT GROWTH REGULATION,0721-7595,1435-8107,"PLANT SCIENCES - SCIE","5,371",4.169,"Q1",1.12,6.22%,4.038,3.794,1.086,0.00347,0.72865,0.677,84.043,296,8.9,7.0,97.37%,304,
CANADIAN JOURNAL OF PLANT SCIENCE,0008-4220,1918-1833,"PLANT SCIENCES - SCIE","5,062",1.018,"Q4",0.38,10.53%,1.242,0.968,0.388,0.00144,0.30307,0.254,24.632,66,13.0,16.3,98.51%,67,
PHOTOSYNTHETICA,0300-3604,1573-9058,"PLANT SCIENCES - SCIE","4,886",3.189,"Q2",0.87,65.00%,3.380,2.833,0.744,0.00285,0.59874,0.558,71.277,121,10.4,8.8,96.80%,125,
SOIL SCIENCE AND PLANT NUTRITION,0038-0768,1747-0765,"PLANT SCIENCES - SCIE","4,873",2.389,"Q2",0.52,0.76%,2.525,1.911,0.636,0.00161,0.33829,0.392,42.899,95,11.3,12.7,88.79%,107,
MYCORRHIZA,0940-6360,1432-1890,"PLANT SCIENCES - SCIE","4,742",3.387,"Q2",1.14,15.23%,4.031,3.008,0.949,0.00269,0.56396,0.809,65.789,75,10.2,10.0,96.15%,78,
Plant Methods,N/A,1746-4811,"PLANT SCIENCES - SCIE","4,680",4.993,"Q1",1.28,100.00%,5.312,4.653,0.783,0.00648,1.35930,1.283,88.182,144,7.9,4.9,94.74%,152,
BIOLOGIA PLANTARUM,0006-3134,1573-8264,"PLANT SCIENCES - SCIE","4,623",1.747,"Q3",0.49,0.00%,2.146,1.702,0.194,0.00174,0.36616,0.375,44.468,91,9.9,12.1,92.86%,98,
CRITICAL REVIEWS IN PLANT SCIENCES,0735-2689,1549-7836,"PLANT SCIENCES - SCIE","4,589",5.188,"Q1",0.63,5.66%,9.148,5.063,0.619,0.00184,0.38726,2.040,90.426,0,9.4,12.5,0.00%,21,
PLANT BREEDING,0179-9541,1439-0523,"PLANT SCIENCES - SCIE","4,571",1.832,"Q3",0.55,10.03%,1.956,1.745,0.720,0.00194,0.40712,0.393,37.424,105,10.0,11.2,84.00%,125,
PLANT FOODS FOR HUMAN NUTRITION,0921-9668,1573-9104,"PLANT SCIENCES - SCIE","4,525",3.921,"Q1",0.83,10.41%,4.223,3.598,0.702,0.00173,0.36346,0.528,69.052,83,7.2,9.6,88.30%,94,
WEED TECHNOLOGY,0890-037X,1550-2740,"PLANT SCIENCES - SCIE","4,501",1.884,"Q3",0.61,13.89%,1.917,1.278,0.460,0.00175,0.36782,0.337,51.010,126,11.4,13.3,100.00%,126,
GENETIC RESOURCES AND CROP EVOLUTION,0925-9864,1573-5109,"PLANT SCIENCES - SCIE","4,354",1.524,"Q3",0.55,8.92%,1.713,1.322,0.613,0.00207,0.43509,0.306,40.320,226,10.9,9.3,96.17%,235,
INTERNATIONAL JOURNAL OF PLANT SCIENCES,1058-5893,1537-5315,"PLANT SCIENCES - SCIE","4,337",1.785,"Q3",0.49,2.56%,1.771,1.646,1.492,0.00173,0.36260,0.527,45.319,64,14.4,13.8,98.46%,65,
PHYTOCHEMISTRY REVIEWS,1568-7767,1572-980X,"PLANT SCIENCES - SCIE","4,296",5.374,"Q1",1.02,14.14%,6.048,5.287,1.952,0.00284,0.59614,1.016,91.277,55,9.1,7.6,66.27%,83,
WEED RESEARCH,0043-1737,1365-3180,"PLANT SCIENCES - SCIE","3,984",2.424,"Q2",0.76,12.00%,2.533,2.250,0.655,0.00133,0.28009,0.532,63.809,54,10.4,14.3,93.10%,58,
FLORA,0367-2530,1618-0585,"PLANT SCIENCES - SCIE","3,979",2.088,"Q2",0.61,2.59%,2.072,1.861,0.580,0.00295,0.61991,0.443,45.315,130,13.2,9.2,99.24%,131,
AUSTRALIAN JOURNAL OF BOTANY,0067-1924,1444-9862,"PLANT SCIENCES - SCIE","3,841",1.237,"Q3",0.41,3.57%,1.394,1.093,0.300,0.00098,0.20721,0.294,27.447,44,13.7,14.6,88.00%,50,
Phytochemistry Letters,1874-3900,1876-7486,"PLANT SCIENCES - SCIE","3,636",1.679,"Q3",0.56,0.62%,1.861,1.586,0.462,0.00375,0.78602,0.308,29.659,182,9.8,5.1,98.91%,184,
PHYTOCHEMICAL ANALYSIS,0958-0344,1099-1565,"PLANT SCIENCES - SCIE","3,615",3.373,"Q2",0.84,4.32%,2.959,3.216,0.792,0.00130,0.27325,0.432,65.533,136,7.6,9.5,94.44%,144,
JOURNAL OF PLANT RESEARCH,0918-9440,1618-0860,"PLANT SCIENCES - SCIE","3,587",2.629,"Q2",0.73,16.59%,2.926,2.424,1.028,0.00311,0.65347,0.704,63.191,66,11.3,8.8,91.67%,72,
JOURNAL OF PHYTOPATHOLOGY,0931-1785,1439-0434,"PLANT SCIENCES - SCIE","3,579",1.789,"Q3",0.48,3.46%,1.574,1.627,0.298,0.00168,0.35367,0.312,45.745,92,10.8,12.0,97.87%,94,
PLANT MOLECULAR BIOLOGY REPORTER,0735-9640,1572-9818,"PLANT SCIENCES - SCIE","3,552",1.595,"Q3",0.43,8.33%,2.042,1.543,0.523,0.00200,0.42040,0.451,23.689,85,9.4,9.1,96.59%,88,
Journal of Ethnobiology and Ethnomedicine,N/A,1746-4269,"PLANT SCIENCES - SCIE","3,454",2.733,"Q2",0.75,100.00%,3.469,2.320,0.722,0.00201,0.42127,0.549,54.838,64,9.8,7.3,88.89%,72,
PHYCOLOGIA,0031-8884,2330-2968,"PLANT SCIENCES - SCIE","3,335",2.857,"Q2",0.86,2.12%,2.548,2.579,0.508,0.00162,0.34052,0.509,73.283,63,11.2,14.3,100.00%,63,
PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,0885-5765,N/A,"PLANT SCIENCES - SCIE","3,317",2.747,"Q2",0.76,6.25%,2.388,2.620,0.578,0.00170,0.35732,0.469,65.319,89,9.8,13.9,98.89%,90,
ECONOMIC BOTANY,0013-0001,1874-9364,"PLANT SCIENCES - SCIE","3,298",1.731,"Q3",0.51,18.89%,1.993,1.567,0.739,0.00069,0.14471,0.453,43.191,21,12.5,23.2,91.30%,23,
Journal of Soil Science and Plant Nutrition,0718-9508,0718-9516,"PLANT SCIENCES - SCIE","3,256",3.872,"Q1",0.83,1.75%,3.771,1.930,1.405,0.00203,0.42707,0.486,69.511,276,8.8,5.1,97.18%,284,
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,1028-6020,1477-2213,"PLANT SCIENCES - SCIE","3,148",1.569,"Q3",0.46,0.00%,1.598,1.453,0.679,0.00209,0.43987,0.279,23.375,233,8.2,7.0,99.57%,234,
ANNALS OF THE MISSOURI BOTANICAL GARDEN,0026-6493,2162-4372,"PLANT SCIENCES - SCIE","3,145",1.850,"Q3",0.76,1.75%,2.282,1.725,0.353,0.00093,0.19552,0.880,47.872,17,15.8,26.6,100.00%,17,
SYSTEMATIC BOTANY,0363-6445,1548-2324,"PLANT SCIENCES - SCIE","3,033",1.101,"Q4",0.33,1.49%,1.343,1.022,0.258,0.00192,0.40236,0.410,16.521,89,13.6,13.0,100.00%,89,
PLANT BIOSYSTEMS,1126-3504,1724-5575,"PLANT SCIENCES - SCIE","2,952",2.838,"Q2",0.70,0.61%,2.146,2.382,0.527,0.00239,0.50116,0.381,66.596,257,12.0,6.1,98.85%,260,
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,1054-5476,1475-2689,"PLANT SCIENCES - SCIE","2,922",2.252,"Q2",0.47,7.02%,2.139,2.053,0.505,0.00130,0.27314,0.373,34.558,110,11.5,11.5,99.10%,111,
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,1433-8319,1433-8319,"PLANT SCIENCES - SCIE","2,852",3.634,"Q1",0.87,1.52%,3.795,3.574,0.645,0.00254,0.53317,1.056,73.920,28,12.3,9.0,90.32%,31,
BOTANICAL REVIEW,0006-8101,1874-9372,"PLANT SCIENCES - SCIE","2,816",3.083,"Q2",0.91,16.28%,3.825,3.042,0.474,0.00065,0.13697,1.008,70.000,10,10.5,24.6,52.63%,19,
APPLIED VEGETATION SCIENCE,1402-2001,1654-109X,"PLANT SCIENCES - SCIE","2,767",3.252,"Q2",1.15,12.63%,3.646,2.874,0.701,0.00250,0.52583,0.807,75.432,87,11.3,7.2,100.00%,87,
BOTANICA MARINA,0006-8055,1437-4323,"PLANT SCIENCES - SCIE","2,766",1.843,"Q3",0.46,7.48%,1.746,1.706,0.556,0.00088,0.18575,0.347,50.769,29,9.7,16.8,64.44%,45,
EUROPEAN JOURNAL OF PHYCOLOGY,0967-0262,1469-4433,"PLANT SCIENCES - SCIE","2,752",2.804,"Q2",1.07,5.10%,3.396,2.620,0.631,0.00146,0.30641,0.686,71.949,65,12.0,11.6,100.00%,65,
CANADIAN JOURNAL OF PLANT PATHOLOGY,0706-0661,1715-2992,"PLANT SCIENCES - SCIE","2,640",2.442,"Q2",0.52,1.72%,1.993,1.814,0.592,0.00120,0.25280,0.391,60.213,98,10.4,12.3,95.15%,103,
Horticulture Research,2662-6810,2052-7276,"PLANT SCIENCES - SCIE","2,607",6.793,"Q1",1.97,100.00%,6.589,6.236,1.231,0.00461,0.96694,1.418,93.920,200,8.2,2.4,94.34%,212,
RUSSIAN JOURNAL OF PLANT PHYSIOLOGY,1021-4437,1608-3407,"PLANT SCIENCES - SCIE","2,588",1.481,"Q3",0.39,0.61%,1.608,1.255,0.190,0.00126,0.26494,0.238,35.106,107,9.8,9.1,88.43%,121,
AoB Plants,2041-2851,2041-2851,"PLANT SCIENCES - SCIE","2,569",3.276,"Q2",0.76,100.00%,3.496,3.153,0.506,0.00425,0.89081,0.857,69.259,78,10.7,5.2,98.73%,79,
BREEDING SCIENCE,1344-7610,1347-3735,"PLANT SCIENCES - SCIE","2,536",2.086,"Q2",0.57,0.00%,2.632,1.942,0.686,0.00189,0.39644,0.545,56.771,57,11.9,7.9,81.43%,70,
JOURNAL OF PLANT PATHOLOGY,1125-4653,2239-7264,"PLANT SCIENCES - SCIE","2,533",1.729,"Q3",0.32,4.82%,1.681,1.565,0.605,0.00152,0.31900,0.332,42.766,150,11.2,8.7,92.59%,162,
AUSTRALASIAN PLANT PATHOLOGY,0815-3191,1448-6032,"PLANT SCIENCES - SCIE","2,424",1.599,"Q3",0.45,3.56%,1.708,1.518,0.273,0.00132,0.27785,0.375,39.362,83,12.5,10.8,94.32%,88,
PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS,0971-5894,0974-0430,"PLANT SCIENCES - SCIE","2,388",2.391,"Q2",0.72,1.39%,2.836,2.277,0.690,0.00211,0.44307,0.463,58.511,190,9.9,4.7,96.45%,197,
VEGETATION HISTORY AND ARCHAEOBOTANY,0939-6314,1617-6278,"PLANT SCIENCES - SCIE","2,387",2.375,"Q2",0.99,21.98%,2.669,2.115,0.974,0.00212,0.44540,0.853,71.885,72,12.9,10.0,92.31%,78,
