"Journal Data Filtered By:  Selected Categories: PLANT SCIENCES Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"PLANT CELL AND ENVIRONMENT","PLANT CELL ENVIRON","0140-7791","1365-3040","PLANT SCIENCES - SCIE","33,379","7.947","Q1","1.92","23.35"%," 13/238 ","8.452","7.579","1.554"," 8/258 ","97.09","0.019","3.977","1.7","94.75","Q1","222","87.84"%,"10.1","8.8","195",
"TRENDS IN PLANT SCIENCE","TRENDS PLANT SCI","1360-1385","1878-4372","PLANT SCIENCES - SCIE","32,492","22.012","Q1","1.79","18.22"%," 2/238 ","23.116","21.639","5.543"," 11/258 ","95.93","0.02","4.305","5.11","99.37","Q1","92","0"%,"9.9","5.9","0",
"ANNALS OF BOTANY","ANN BOT-LONDON","0305-7364","1095-8290","PLANT SCIENCES - SCIE","28,256","5.04","Q1","1.24","17.78"%," 34/238 ","5.351","4.779","1.476"," 30/258 ","88.57","0.011","2.314","1.18","85.92","Q1","147","96.6"%,"12.5","10.9","142",
"JOURNAL OF ECOLOGY","J ECOL","0022-0477","1365-2745","PLANT SCIENCES - SCIE","26,651","6.381","Q1","1.6","21.02"%," 21/238 ","7.164","6.048","1.568"," 14/258 ","94.77","0.018","3.796","1.851","91.39","Q1","241","94.19"%,"10.4","9.6","227",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","PLANT SCIENCES - SCIE","26,103","5.574","Q1","1.57","26.33"%," 26/238 ","5.662","4.986","1.216"," 16/258 ","93.99","0.01","2.184","1.004","89.29","Q1","264","87.88"%,"12.5","8.4","232",
"Annual Review of Plant Biology","ANNU REV PLANT BIOL","1543-5008","1545-2123","PLANT SCIENCES - SCIE","25,803","28.31","Q1","2.76","2.22"%," 1/238 ","29.919","28.017","4.938"," 3/258 ","99.03","0.011","2.31","8.366","99.79","Q1","32","0"%,"13.5","7.7","0",
"PLANT DISEASE","PLANT DIS","0191-2917","1943-7692","PLANT SCIENCES - SCIE","25,518","4.614","Q1","0.83","73.37"%," 42/238 ","5.33","3.781","1.472"," 75/258 ","71.12","0.012","2.608","0.842","82.56","Q1","453","100"%,"9.8","10.7","453",
"PLANTA","PLANTA","0032-0935","1432-2048","PLANT SCIENCES - SCIE","25,221","4.54","Q1","1.03","14.4"%," 44/238 ","4.689","4.423","0.732"," 42/258 ","83.91","0.008","1.755","0.8","81.72","Q1","254","84.65"%,"14.1","9.1","215",
"PLANT PHYSIOLOGY AND BIOCHEMISTRY","PLANT PHYSIOL BIOCH","0981-9428","1873-2690","PLANT SCIENCES - SCIE","24,354","5.437","Q1","1.36","4.33"%," 28/238 ","5.731","5.1","1.473"," 22/258 ","91.67","0.016","3.337","0.778","88.45","Q1","588","95.58"%,"5.6","8.5","562",
"BMC PLANT BIOLOGY","BMC PLANT BIOL","1471-2229","1471-2229","PLANT SCIENCES - SCIE","24,052","5.26","Q1","1.31","99.77"%," 30/238 ","5.761","5.009","0.764"," 27/258 ","89.73","0.018","3.805","0.926","87.61","Q1","590","99.15"%,"5.9","8.9","585",
"PLANT AND CELL PHYSIOLOGY","PLANT CELL PHYSIOL","0032-0781","1471-9053","PLANT SCIENCES - SCIE","22,928","4.937","Q1","0.99","14.26"%," 37/238 ","5.783","4.767","1.31"," 50/258 ","80.81","0.012","2.552","1.213","84.66","Q1","145","83.45"%,"10.6","9.1","121",
"PLANT SCIENCE","PLANT SCI","0168-9452","1873-2259","PLANT SCIENCES - SCIE","22,434","5.363","Q1","1.03","7.91"%," 29/238 ","5.454","5.166","1.229"," 42/258 ","83.91","0.011","2.365","0.932","88.03","Q1","340","92.65"%,"9.7","9.4","315",
"PHYTOPATHOLOGY","PHYTOPATHOLOGY","0031-949X","1943-7684","PLANT SCIENCES - SCIE","20,904","4.01","Q1","1.02","75.76"%," 52/238 ","4.457","3.737","1.515"," 46/258 ","82.36","0.007","1.559","0.863","78.36","Q1","237","94.51"%,"16.3","9.5","224",
"PHYSIOLOGIA PLANTARUM","PHYSIOL PLANTARUM","0031-9317","1399-3054","PLANT SCIENCES - SCIE","20,427","5.081","Q1","1.42","10.59"%," 33/238 ","5.12","4.813","1.641"," 21/258 ","92.05","0.006","1.285","0.805","86.34","Q1","287","95.82"%,"15.6","8.1","275",
"AMERICAN JOURNAL OF BOTANY","AM J BOT","0002-9122","1537-2197","PLANT SCIENCES - SCIE","20,316","3.325","Q2","0.98","20.05"%," 72/238 ","4.014","3.106","1.195"," 51/258 ","80.43","0.008","1.783","1.156","69.96","Q1","174","95.4"%,"15.7","11.8","166",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","PLANT SCIENCES - SCIE","20,242","21.949","Q1","3.71","21.13"%," 3/238 ","19.617","21.416","5.213"," 2/258 ","99.42","0.023","4.999","4.619","98.95","Q1","122","90.16"%,"5.5","7.4","110",
"CURRENT OPINION IN PLANT BIOLOGY","CURR OPIN PLANT BIOL","1369-5266","1879-0356","PLANT SCIENCES - SCIE","18,672","9.396","Q1","0.92","19.93"%," 9/238 ","9.701","9.132","2.135"," 58/258 ","77.71","0.014","3.068","2.675","96.43","Q1","104","0"%,"9.8","4.9","0",
"PLANT MOLECULAR BIOLOGY","PLANT MOL BIOL","0167-4412","1573-5028","PLANT SCIENCES - SCIE","18,309","4.335","Q1","0.98","12.84"%," 46/238 ","5.197","4.253","1.218"," 51/258 ","80.43","0.006","1.28","0.936","80.88","Q1","124","82.26"%,"13.6","8.7","102",
"PHYTOMEDICINE","PHYTOMEDICINE","0944-7113","1618-095X","PLANT SCIENCES - SCIE","18,290","6.656","Q1","1.78","8.99"%," 19/238 ","6.137","6.383","2.534"," 12/258 ","95.54","0.01","2.05","0.77","92.23","Q1","468","89.1"%,"5.9","5.9","417",
"ENVIRONMENTAL AND EXPERIMENTAL BOTANY","ENVIRON EXP BOT","0098-8472","1873-7307","PLANT SCIENCES - SCIE","18,284","6.028","Q1","1.3","4.88"%," 23/238 ","6.246","5.787","1.163"," 28/258 ","89.34","0.01","2.208","0.927","90.55","Q1","338","93.79"%,"7.4","8.9","317",
"JOURNAL OF PLANT PHYSIOLOGY","J PLANT PHYSIOL","0176-1617","1618-1328","PLANT SCIENCES - SCIE","17,683","3.686","Q2","1.03","6.31"%," 61/238 ","4.352","3.581","1.303"," 42/258 ","83.91","0.006","1.273","0.692","74.58","Q2","188","84.57"%,"10.6","9.5","159",
"Agronomy-Basel","AGRONOMY-BASEL","N/A","2073-4395","PLANT SCIENCES - SCIE","16,681","3.949","Q1","1.05","95.58"%," 55/238 ","4.117","3.314","0.881"," 38/258 ","85.47","0.016","3.364","0.503","77.1","Q2","2,514","92.08"%,"1.9","8.7","2,315",
"PLANT BIOTECHNOLOGY JOURNAL","PLANT BIOTECHNOL J","1467-7644","1467-7652","PLANT SCIENCES - SCIE","16,345","13.263","Q1","2.45","96.09"%," 5/238 ","11.619","12.747","2.421"," 4/258 ","98.64","0.018","3.947","2.17","98.11","Q1","171","92.98"%,"4.4","7.6","159",
"PLANTA MEDICA","PLANTA MED","0032-0943","1439-0221","PLANT SCIENCES - SCIE","16,196","3.007","Q2","0.9","2.7"%," 85/238 ","3.493","2.937","0.417"," 60/258 ","76.94","0.004","0.776","0.482","64.5","Q2","144","80.56"%,"13.8","8.6","116",
"Plants-Basel","PLANTS-BASEL","N/A","2223-7747","PLANT SCIENCES - SCIE","16,001","4.658","Q1","1.01","93.92"%," 39/238 ","4.827","4.126","1.009"," 48/258 ","81.59","0.016","3.434","0.654","83.82","Q2","2,745","87.43"%,"1.7","8.7","2,400",
"EUPHYTICA","EUPHYTICA","0014-2336","1573-5060","PLANT SCIENCES - SCIE","13,742","2.185","Q2","0.67","13.17"%," 119/238 ","2.387","2.008","0.436"," 105/258 ","59.5","0.004","0.942","0.398","50.21","Q3","211","96.21"%,"13.2","10.4","203",
"MOLECULAR PLANT-MICROBE INTERACTIONS","MOL PLANT MICROBE IN","0894-0282","1943-7706","PLANT SCIENCES - SCIE","13,721","3.422","Q2","0.85","99.33"%," 67/238 ","4.274","3.216","1.131"," 71/258 ","72.67","0.005","1.105","0.925","72.06","Q1","153","93.46"%,"11.9","9.4","143",
"Nature Plants","NAT PLANTS","2055-026X","2055-0278","PLANT SCIENCES - SCIE","13,007","17.352","Q1","4.56","6.62"%," 4/238 ","19.328","16.932","4.646"," 1/258 ","99.81","0.032","6.883","6.01","98.53","Q1","144","93.06"%,"3.6","7.5","134",
"PLANT CELL REPORTS","PLANT CELL REP","0721-7714","1432-203X","PLANT SCIENCES - SCIE","12,170","4.964","Q1","1.11","9.11"%," 36/238 ","5.004","4.801","1.213"," 34/258 ","87.02","0.006","1.262","0.836","85.08","Q1","174","71.84"%,"9","8","125",
"Annual Review of Phytopathology","ANNU REV PHYTOPATHOL","0066-4286","1545-2107","PLANT SCIENCES - SCIE","11,076","10.85","Q1","1.21","1.72"%," 7/238 ","18.441","10.675","2"," 32/258 ","87.79","0.005","1.079","4.503","97.27","Q1","18","0"%,"12.4","8.4","0",
"Plant Signaling & Behavior","PLANT SIGNAL BEHAV","1559-2316","1559-2324","PLANT SCIENCES - SCIE","10,759","2.734","Q2","0.49","10.65"%," 95/238 ","2.746","2.672","0.435"," 136/258 ","47.48","0.004","0.943","0.495","60.29","Q2","170","87.06"%,"9.3","8.9","148",
"JOURNAL OF PHYCOLOGY","J PHYCOL","0022-3646","1529-8817","PLANT SCIENCES - SCIE","10,659","3.173","Q2","0.87","10.18"%," 76/238 ","3.013","2.908","0.843"," 65/258 ","75","0.003","0.744","0.66","68.28","Q2","121","96.69"%,"15.8","11.3","117",
"MOLECULAR PLANT PATHOLOGY","MOL PLANT PATHOL","1464-6722","1364-3703","PLANT SCIENCES - SCIE","10,570","5.52","Q1","1.43","94.12"%," 27/238 ","6.25","5.179","0.676"," 20/258 ","92.44","0.008","1.706","1.248","88.87","Q1","139","92.81"%,"7.8","9.2","129",
"JOURNAL OF VEGETATION SCIENCE","J VEG SCI","1100-9233","1654-1103","PLANT SCIENCES - SCIE","10,230","3.389","Q2","0.92","15.63"%," 69/238 ","3.699","3.13","0.661"," 58/258 ","77.71","0.005","0.975","0.827","71.22","Q1","124","100"%,"13","10.2","124",
"PHARMACEUTICAL BIOLOGY","PHARM BIOL","1388-0209","1744-5116","PLANT SCIENCES - SCIE","9,942","3.889","Q1","1","99.02"%," 57/238 ","4.233","3.754","0.6"," 49/258 ","81.2","0.005","1.06","0.535","76.26","Q2","165","93.94"%,"6.9","6.6","155",
"PLANT PATHOLOGY","PLANT PATHOL","0032-0862","1365-3059","PLANT SCIENCES - SCIE","9,745","2.772","Q2","0.8","13.79"%," 91/238 ","3.132","2.566","0.551"," 79/258 ","69.57","0.005","1.003","0.578","61.97","Q2","178","88.2"%,"10.4","9.9","157",
"ACTA PHYSIOLOGIAE PLANTARUM","ACTA PHYSIOL PLANT","0137-5881","1861-1664","PLANT SCIENCES - SCIE","9,310","2.736","Q2","0.65","7.6"%," 94/238 ","2.983","2.679","0.543"," 108/258 ","58.33","0.004","0.939","0.409","60.71","Q2","162","97.53"%,"7.4","9.9","158",
"COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS","COMMUN SOIL SCI PLAN","0010-3624","1532-2416","PLANT SCIENCES - SCIE","9,299","1.58","Q3","0.37","0.83"%," 153/238 ","1.608","1.477","0.279"," 175/258 ","32.36","0.003","0.558","0.225","35.92","Q4","233","98.28"%,"15.6","11.8","229",
"SOUTH AFRICAN JOURNAL OF BOTANY","S AFR J BOT","0254-6299","1727-9321","PLANT SCIENCES - SCIE","9,288","3.111","Q2","0.79","40.7"%," 81/238 ","3.218","2.923","0.867"," 83/258 ","68.02","0.006","1.307","0.415","66.18","Q2","458","93.23"%,"5","9.6","427",
"EUROPEAN JOURNAL OF PLANT PATHOLOGY","EUR J PLANT PATHOL","0929-1873","1573-8469","PLANT SCIENCES - SCIE","9,194","2.224","Q2","0.69","12.03"%," 117/238 ","2.262","2.089","0.463"," 100/258 ","61.43","0.005","1.05","0.382","51.05","Q3","246","99.19"%,"8.9","11.1","244",
"PLANT CELL TISSUE AND ORGAN CULTURE","PLANT CELL TISS ORG","0167-6857","1573-5044","PLANT SCIENCES - SCIE","9,008","2.726","Q2","0.66","10.57"%," 96/238 ","2.859","2.328","0.633"," 106/258 ","59.11","0.004","0.766","0.356","59.87","Q3","218","96.79"%,"8.3","9.4","211",
"PHOTOSYNTHESIS RESEARCH","PHOTOSYNTH RES","0166-8595","1573-5079","PLANT SCIENCES - SCIE","8,841","3.429","Q2","0.96","18.01"%," 66/238 ","3.387","3.189","1.369"," 55/258 ","78.88","0.004","0.805","0.7","72.48","Q2","84","97.62"%,"12.1","11.4","82",
"JOURNAL OF PLANT NUTRITION","J PLANT NUTR","0190-4167","1532-4087","PLANT SCIENCES - SCIE","8,731","2.277","Q2","0.51","1.12"%," 115/238 ","2.157","2.135","0.32"," 132/258 ","49.03","0.003","0.731","0.286","51.89","Q3","256","95.31"%,"12.5","10.9","244",
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","1672-9072","1744-7909","PLANT SCIENCES - SCIE","8,456","9.106","Q1","1.59","18.13"%," 10/238 ","8.241","8.635","3.575"," 15/258 ","94.38","0.007","1.56","1.75","96.01","Q1","134","80.6"%,"6.3","7.8","108",
"PLANT GROWTH REGULATION","PLANT GROWTH REGUL","0167-6903","1573-5087","PLANT SCIENCES - SCIE","7,850","3.242","Q2","0.83","7.12"%," 74/238 ","3.607","2.96","0.875"," 75/258 ","71.12","0.003","0.619","0.51","69.12","Q2","96","85.42"%,"10.3","8.2","82",
"FUNCTIONAL PLANT BIOLOGY","FUNCT PLANT BIOL","1445-4408","1445-4416","PLANT SCIENCES - SCIE","7,634","2.812","Q2","0.78","10"%," 90/238 ","3.291","2.655","0.66"," 86/258 ","66.86","0.003","0.578","0.53","62.39","Q2","97","93.81"%,"10.8","9.5","91",
"REVIEW OF PALAEOBOTANY AND PALYNOLOGY","REV PALAEOBOT PALYNO","0034-6667","1879-0615","PLANT SCIENCES - SCIE","7,390","2.493","Q2","0.75","9.32"%," 108/238 ","2.406","2.05","0.693"," 89/258 ","65.7","0.003","0.616","0.573","54.83","Q2","153","96.08"%,"14.3","20.2","147",
"PLANT BIOLOGY","PLANT BIOLOGY","1435-8603","1438-8677","PLANT SCIENCES - SCIE","7,206","3.877","Q1","0.86","7.89"%," 58/238 ","3.416","3.795","0.646"," 67/258 ","74.22","0.004","0.865","0.619","75.84","Q2","161","87.58"%,"8.3","9","141",
"WEED SCIENCE","WEED SCI","0043-1745","1550-2759","PLANT SCIENCES - SCIE","7,191","2.58","Q2","0.89","15.77"%," 102/238 ","2.818","2.274","0.81"," 62/258 ","76.16","0.002","0.444","0.532","57.35","Q2","84","94.05"%,"16.1","11.6","79",
"MOLECULAR BREEDING","MOL BREEDING","1380-3743","1572-9788","PLANT SCIENCES - SCIE","7,075","3.297","Q2","0.88","10.43"%," 73/238 ","3.011","3.193","0.671"," 63/258 ","75.78","0.004","0.794","0.529","69.54","Q2","76","93.42"%,"7.9","8.8","71",
"PLANT ECOLOGY","PLANT ECOL","1385-0237","1573-5052","PLANT SCIENCES - SCIE","7,004","1.99","Q3","0.57","10.1"%," 126/238 ","2.396","1.915","0.252"," 115/258 ","55.62","0.003","0.557","0.504","47.27","Q2","107","98.13"%,"12.7","11.8","105",
"Phytotaxa","PHYTOTAXA","1179-3155","1179-3163","PLANT SCIENCES - SCIE","6,976","1.05","Q4","0.3","0"%," 193/238 ","1.098","0.717","0.374"," 194/258 ","25","0.009","1.847","0.216","19.12","Q4","875","99.77"%,"4.5","18.4","873",
"AQUATIC BOTANY","AQUAT BOT","0304-3770","1879-1522","PLANT SCIENCES - SCIE","6,763","1.968","Q3","0.69","4.98"%," 128/238 ","2.467","1.739","0.635"," 100/258 ","61.43","0.002","0.366","0.448","46.43","Q2","104","98.08"%,"15.6","12.1","102",
"JOURNAL OF PLANT GROWTH REGULATION","J PLANT GROWTH REGUL","0721-7595","1435-8107","PLANT SCIENCES - SCIE","6,691","4.64","Q1","1.18","6.61"%," 41/238 ","4.469","4.39","0.889"," 33/258 ","87.4","0.004","0.832","0.571","82.98","Q2","261","97.32"%,"5.7","8","254",
"PROTOPLASMA","PROTOPLASMA","0033-183X","1615-6102","PLANT SCIENCES - SCIE","6,680","3.186","Q2","0.69","15.25"%," 75/238 ","3.447","3.007","0.813"," 100/258 ","61.43","0.004","0.844","0.561","68.7","Q2","128","93.75"%,"7.8","10.9","120",
"BOTANICAL JOURNAL OF THE LINNEAN SOCIETY","BOT J LINN SOC","0024-4074","1095-8339","PLANT SCIENCES - SCIE","6,627","2.828","Q2","0.8","4.35"%," 89/238 ","3.922","2.472","1.26"," 79/258 ","69.57","0.005","1.012","0.993","62.82","Q1","96","94.79"%,"9.9","13.7","91",
"JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE","J PLANT NUTR SOIL SC","1436-8730","1522-2624","PLANT SCIENCES - SCIE","6,413","2.566","Q2","0.79","32.5"%," 103/238 ","3.283","2.457","0.492"," 83/258 ","68.02","0.002","0.491","0.57","56.93","Q2","65","96.92"%,"10.8","9.5","63",
"TAXON","TAXON","0040-0262","1996-8175","PLANT SCIENCES - SCIE","6,250","2.586","Q2","0.54","14.66"%," 101/238 ","3.368","2.28","0.693"," 124/258 ","52.13","0.004","0.767","0.946","57.77","Q1","75","100"%,"11.9","15.1","75",
"PAKISTAN JOURNAL OF BOTANY","PAK J BOT","0556-3321","2070-3368","PLANT SCIENCES - SCIE","6,136","1.101","Q4","0.33","0"%," 189/238 ","1.066","0.897","0.379"," 184/258 ","28.88","0.002","0.414","0.136","20.8","Q4","269","99.63"%,"9.6","11.6","268",
"Plant Methods","PLANT METHODS","N/A","1746-4811","PLANT SCIENCES - SCIE","5,855","5.827","Q1","1.32","99.31"%," 24/238 ","5.904","5.641","1.077"," 25/258 ","90.5","0.006","1.368","1.15","90.13","Q1","130","95.38"%,"4.4","8.1","124",
"CANADIAN JOURNAL OF PLANT SCIENCE","CAN J PLANT SCI","0008-4220","1918-1833","PLANT SCIENCES - SCIE","5,390","1.375","Q3","0.4","14.11"%," 167/238 ","1.524","1.225","0.432"," 163/258 ","37.02","0.001","0.26","0.255","30.04","Q3","81","97.53"%,"15.9","11.6","79",
"PHYTOCHEMISTRY REVIEWS","PHYTOCHEM REV","1568-7767","1572-980X","PLANT SCIENCES - SCIE","5,287","7.741","Q1","1.33","20.53"%," 14/238 ","7.943","7.548","1.691"," 23/258 ","91.28","0.003","0.721","1.196","94.33","Q1","55","70.91"%,"6.5","9.1","39",
"PHOTOSYNTHETICA","PHOTOSYNTHETICA","0300-3604","1573-9058","PLANT SCIENCES - SCIE","5,264","2.482","Q2","0.81","99.05"%," 109/238 ","3.427","2.285","0.403"," 78/258 ","69.96","0.003","0.553","0.497","54.41","Q2","62","88.71"%,"8.8","9.3","55",
"PLANT SYSTEMATICS AND EVOLUTION","PLANT SYST EVOL","0378-2697","1615-6110","PLANT SCIENCES - SCIE","5,232","1.644","Q3","0.42","11.21"%," 149/238 ","1.708","1.531","0.381"," 155/258 ","40.12","0.002","0.384","0.412","37.61","Q2","63","100"%,"14.2","14.1","63",
"CRITICAL REVIEWS IN PLANT SCIENCES","CRIT REV PLANT SCI","0735-2689","1549-7836","PLANT SCIENCES - SCIE","5,175","6.289","Q1","0.56","12.73"%," 22/238 ","9.078","6.263","1.412"," 120/258 ","53.68","0.002","0.335","1.834","90.97","Q1","17","0"%,"12.5","7.4","0",
"WEED TECHNOLOGY","WEED TECHNOL","0890-037X","1550-2740","PLANT SCIENCES - SCIE","5,145","1.807","Q3","0.59","21.04"%," 140/238 ","2.203","1.189","0.585"," 114/258 ","56.01","0.002","0.339","0.301","41.39","Q3","147","97.28"%,"12.6","11.3","143",
"GENETIC RESOURCES AND CROP EVOLUTION","GENET RESOUR CROP EV","0925-9864","1573-5109","PLANT SCIENCES - SCIE","5,129","1.876","Q3","0.56","9.79"%," 132/238 ","1.864","1.698","0.544"," 120/258 ","53.68","0.002","0.464","0.291","44.75","Q3","228","92.11"%,"9.6","10.7","210",
"SOIL SCIENCE AND PLANT NUTRITION","SOIL SCI PLANT NUTR","0038-0768","1747-0765","PLANT SCIENCES - SCIE","5,124","1.929","Q3","0.43","4.12"%," 130/238 ","2.634","1.669","0.324"," 152/258 ","41.28","0.002","0.344","0.431","45.59","Q2","74","91.89"%,"12.8","10.4","68",
"MYCORRHIZA","MYCORRHIZA","0940-6360","1432-1890","PLANT SCIENCES - SCIE","5,021","3.856","Q1","1.06","18.33"%," 59/238 ","4.14","3.636","0.708"," 37/258 ","85.85","0.002","0.513","0.737","75.42","Q2","48","91.67"%,"10","10.3","44",
"PLANT BREEDING","PLANT BREEDING","0179-9541","1439-0523","PLANT SCIENCES - SCIE","4,892","2.536","Q2","0.48","13"%," 105/238 ","2.306","2.43","0.602"," 140/258 ","45.93","0.002","0.429","0.42","56.09","Q2","93","88.17"%,"11.3","10.1","82",
"PLANT FOODS FOR HUMAN NUTRITION","PLANT FOOD HUM NUTR","0921-9668","1573-9104","PLANT SCIENCES - SCIE","4,868","4.124","Q1","0.82","8.33"%," 50/238 ","4.574","3.906","0.786"," 77/258 ","70.35","0.002","0.36","0.514","79.2","Q2","70","88.57"%,"9.4","6.6","62",
"BIOLOGIA PLANTARUM","BIOL PLANTARUM","0006-3134","1573-8264","PLANT SCIENCES - SCIE","4,840","1.122","Q4","0.39","99.56"%," 186/238 ","1.923","1.111","0.162"," 166/258 ","35.85","0.001","0.259","0.281","22.06","Q3","37","97.3"%,"12.8","9.9","36",
"INTERNATIONAL JOURNAL OF PLANT SCIENCES","INT J PLANT SCI","1058-5893","1537-5315","PLANT SCIENCES - SCIE","4,766","3.142","Q2","0.71","5"%," 78/238 ","2.521","3.015","0.636"," 95/258 ","63.37","0.002","0.416","0.659","67.44","Q2","66","95.45"%,"13.9","15.3","63",
"Horticulture Research","HORTIC RES-ENGLAND","2662-6810","2052-7276","PLANT SCIENCES - SCIE","4,617","7.291","Q1","1.91","99.67"%," 16/238 ","7.487","6.785","1.66"," 10/258 ","96.32","0.006","1.254","1.253","93.49","Q1","259","93.44"%,"2.5","8.3","242",
"FLORA","FLORA","0367-2530","1618-0585","PLANT SCIENCES - SCIE","4,341","2.22","Q2","0.6","3.62"%," 118/238 ","2.235","1.993","0.356"," 111/258 ","57.17","0.003","0.594","0.42","50.63","Q2","160","98.13"%,"9.4","13","157",
"AUSTRALIAN JOURNAL OF BOTANY","AUST J BOT","0067-1924","1444-9862","PLANT SCIENCES - SCIE","4,174","1.505","Q3","0.38","10.97"%," 157/238 ","1.841","1.305","0.64"," 169/258 ","34.69","0.001","0.237","0.387","34.24","Q3","50","94"%,"14.9","12.9","47",
"Journal of Soil Science and Plant Nutrition","J SOIL SCI PLANT NUT","0718-9508","0718-9516","PLANT SCIENCES - SCIE","4,107","3.61","Q2","0.84","2.65"%," 62/238 ","3.581","3.173","0.602"," 72/258 ","72.29","0.003","0.591","0.482","74.16","Q2","314","94.59"%,"4.8","7.7","297",
"Phytochemistry Letters","PHYTOCHEM LETT","1874-3900","1876-7486","PLANT SCIENCES - SCIE","3,988","1.873","Q3","0.54","0.48"%," 133/238 ","1.875","1.774","0.408"," 124/258 ","52.13","0.003","0.623","0.277","44.33","Q3","213","98.59"%,"5.5","10.3","210",
"PHYTOCHEMICAL ANALYSIS","PHYTOCHEM ANALYSIS","0958-0344","1099-1565","PLANT SCIENCES - SCIE","3,986","3.024","Q2","0.7","4.53"%," 83/238 ","3.018","2.933","1.295"," 99/258 ","61.82","0.001","0.31","0.403","65.34","Q3","78","94.87"%,"9.9","7.2","74",
