"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Categories: 'PLANT SCIENCES' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
13,PLANT JOURNAL,PLANT J,0960-7412,"46,465",6.141,5.873,6.629,1.482,305,11.0,8.5,0.042290,2.112,98.69,94.658,5.15977
14,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,0022-0957,"50,988",5.908,5.530,7.011,1.592,466,8.4,9.0,0.056220,1.879,70.39,94.231,6.85970
15,JOURNAL OF ECOLOGY,J ECOL,0022-0477,"20,912",5.762,5.352,6.488,1.559,213,10.6,9.3,0.021330,2.086,97.65,92.289,2.60329
16,Horticulture Research,HORTIC RES-ENGLAND,2662-6810,"1,360",5.404,4.912,5.570,1.015,134,2.7,7.5,0.003360,1.244,92.54,92.903,0.41001
17,Journal of Integrative Plant Biology,J INTEGR PLANT BIOL,1672-9072,"5,005",4.885,4.649,4.586,2.507,75,7.2,8.5,0.006830,1.304,85.33,86.458,0.83395
18,THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,0040-5752,"21,335",4.439,3.630,4.603,1.186,236,12.9,8.2,0.014120,1.167,89.41,90.980,1.72331
19,Frontiers in Plant Science,FRONT PLANT SCI,1664-462X,"47,627",4.402,4.016,5.207,0.758,"1,663",3.4,8.6,0.118290,1.190,81.24,92.094,14.43151
20,PRESLIA,PRESLIA,0032-7786,"1,113",4.357,3.750,4.241,0.500,14,8.2,12.5,0.001220,1.170,100.00,91.667,0.14957
21,MOLECULAR PLANT PATHOLOGY,MOL PLANT PATHOL,1464-6722,"6,800",4.326,4.073,4.550,0.919,123,7.1,9.0,0.009250,1.230,90.24,91.239,1.12897
22,PHYTOCHEMISTRY REVIEWS,PHYTOCHEM REV,1568-7767,"3,156",4.298,4.193,4.587,0.741,54,7.7,9.7,0.003120,0.920,33.33,90.812,0.38117
23,PHYTOMEDICINE,PHYTOMEDICINE,0944-7113,"11,272",4.268,3.996,4.152,1.197,451,7.3,7.2,0.008460,0.648,92.68,86.551,1.03225
24,PHYSIOLOGIA PLANTARUM,PHYSIOL PLANTARUM,0031-9317,"15,874",4.148,4.009,3.947,1.559,186,16.2,9.7,0.007200,0.937,98.39,89.957,0.87906
25,PLANT AND CELL PHYSIOLOGY,PLANT CELL PHYSIOL,0032-0781,"17,763",4.062,3.897,4.799,1.009,220,10.0,9.0,0.018640,1.407,89.55,74.124,2.27413
26,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,ENVIRON EXP BOT,0098-8472,"11,971",4.027,3.721,4.744,1.258,291,8.0,9.0,0.010400,0.928,96.22,81.249,1.26912
27,ANNALS OF BOTANY,ANN BOT-LONDON,0305-7364,"23,099",4.005,3.820,4.689,1.398,196,11.4,10.3,0.016520,1.306,94.39,88.675,2.01597
28,Plant Reproduction,PLANT REPROD,2194-7953,549,3.957,3.830,3.757,1.310,29,3.5,10.0,0.001490,1.109,93.10,86.365,0.18274
29,Plant Genome,PLANT GENOME-US,****-****,"1,787",3.847,3.704,4.169,0.717,53,4.7,8.2,0.003920,1.220,98.11,79.362,0.47936
30,PLANT CELL REPORTS,PLANT CELL REP,0721-7714,"9,252",3.825,3.736,3.686,1.099,121,8.5,9.3,0.008510,0.833,87.60,87.393,1.03916
31,PLANT DISEASE,PLANT DIS,0191-2917,"16,909",3.809,2.821,3.950,0.838,345,11.1,10.6,0.012000,0.804,100.00,86.966,1.46521
32,JOURNAL OF NATURAL PRODUCTS,J NAT PROD,0163-3864,"27,285",3.779,3.370,3.989,0.680,409,10.8,8.9,0.019050,0.778,98.04,77.617,2.32414
33,PLANT PHYSIOLOGY AND BIOCHEMISTRY,PLANT PHYSIOL BIOCH,0981-9428,"14,505",3.720,3.483,3.966,0.764,441,6.3,9.0,0.015890,0.758,95.92,86.111,1.93908
34,MOLECULAR PLANT-MICROBE INTERACTIONS,MOL PLANT MICROBE IN,0894-0282,"11,599",3.696,3.422,4.282,0.910,145,11.0,8.9,0.008300,1.263,94.48,73.510,1.01338
35,JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,0378-8741,"37,198",3.690,3.365,3.908,0.839,609,8.6,8.1,0.023420,0.611,90.31,79.694,2.85747
36,Plant Methods,PLANT METHODS,****-****,"3,120",3.610,3.286,4.266,0.731,156,5.2,7.5,0.005270,1.111,96.15,79.752,0.64379
37,PLANT SCIENCE,PLANT SCI,0168-9452,"16,280",3.591,3.484,4.253,1.130,293,10.1,9.3,0.014260,1.056,88.05,71.915,1.74083
38,BMC PLANT BIOLOGY,BMC PLANT BIOL,1471-2229,"13,905",3.497,3.245,4.494,0.470,594,5.8,8.9,0.021750,1.100,99.49,83.974,2.65450
39,GM Crops & Food-Biotechnology in Agriculture and the Food Chain,GM CROPS FOOD,2164-5698,369,3.444,3.185,Not Available,0.222,9,4.9,10.1,0.000780,Not Available,77.78,75.908,0.09546
40,Crop Journal,CROP J,2095-5421,"1,255",3.395,3.306,Not Available,0.679,78,3.6,9.5,0.003170,Not Available,91.03,84.692,0.38707
41,PLANTA,PLANTA,0032-0935,"20,329",3.390,3.231,3.687,0.951,285,13.5,9.1,0.010980,0.870,84.91,82.692,1.34072
42,PLANT MOLECULAR BIOLOGY,PLANT MOL BIOL,0167-4412,"15,159",3.302,3.241,4.065,0.700,120,13.2,9.4,0.008710,1.041,96.67,68.153,1.06314
43,PLANT AND SOIL,PLANT SOIL,0032-079X,"36,369",3.299,2.996,3.880,0.874,428,11.5,9.6,0.020730,0.865,97.66,79.790,2.52961
44,PHYTOPATHOLOGY,PHYTOPATHOLOGY,0031-949X,"15,809",3.234,2.925,3.492,0.986,216,16.4,9.7,0.008820,0.887,93.98,81.410,1.07724
45,PHOTOSYNTHESIS RESEARCH,PHOTOSYNTH RES,0166-8595,"7,354",3.216,2.780,3.630,1.147,116,10.8,12.4,0.006960,1.005,97.41,80.983,0.84986
46,Rice Science,RICE SCI,1672-6308,966,3.162,3.068,Not Available,0.744,43,5.0,8.3,0.001130,Not Available,83.72,82.311,0.13840
47,PHYTOCHEMISTRY,PHYTOCHEMISTRY,0031-9422,"31,929",3.044,2.916,3.374,0.906,213,18.5,9.9,0.010380,0.740,93.43,64.054,1.26728
48,AMERICAN JOURNAL OF BOTANY,AM J BOT,0002-9122,"17,165",3.038,2.882,3.245,0.476,126,14.9,10.9,0.012150,1.127,100.00,79.701,1.48321
49,JOURNAL OF PLANT PHYSIOLOGY,J PLANT PHYSIOL,0176-1617,"13,673",3.013,2.935,3.615,0.600,160,9.8,10.2,0.010410,0.780,96.25,79.274,1.27035
50,Journal of Plant Interactions,J PLANT INTERACT,1742-9145,"1,350",2.992,2.846,2.954,0.242,66,5.4,9.8,0.001910,0.536,98.48,78.846,0.23372
51,PHARMACEUTICAL BIOLOGY,PHARM BIOL,1388-0209,"6,132",2.971,2.920,2.681,0.418,98,5.7,7.5,0.006520,0.433,94.90,71.570,0.79562
52,Advances in Botanical Research,ADV BOT RES,0065-2296,"1,637",2.940,2.880,2.449,0.370,27,8.9,9.9,0.001730,0.637,0.00,77.991,0.21183
53,ALGAE,ALGAE-SEOUL,1226-2617,735,2.914,2.552,2.349,0.269,26,6.0,10.5,0.000850,0.446,100.00,82.414,0.10452
54,PLANT FOODS FOR HUMAN NUTRITION,PLANT FOOD HUM NUTR,0921-9668,"3,406",2.901,2.640,3.133,0.481,79,9.4,7.6,0.001800,0.477,91.14,65.547,0.22022
55,TAXON,TAXON,0040-0262,"4,890",2.817,2.665,2.505,0.419,62,11.4,15.3,0.005040,0.878,100.00,66.855,0.61513
56,Journal of Systematics and Evolution,J SYST EVOL,1674-4918,"1,471",2.779,2.600,3.053,1.442,43,4.9,12.8,0.003270,0.979,100.00,76.282,0.39970
57,PHYTOCHEMICAL ANALYSIS,PHYTOCHEM ANALYSIS,0958-0344,"3,110",2.772,2.646,2.566,0.901,71,9.4,8.4,0.001850,0.505,98.59,63.212,0.22571
58,Plants-Basel,PLANTS-BASEL,****-****,"1,351",2.762,2.477,Not Available,0.496,611,2.6,8.9,0.002690,Not Available,81.01,75.427,0.32873
59,EUROPEAN JOURNAL OF PHYCOLOGY,EUR J PHYCOL,0967-0262,"2,171",2.756,2.646,2.827,0.667,48,11.6,12.9,0.001870,0.736,100.00,80.189,0.22895
60,PROTOPLASMA,PROTOPLASMA,0033-183X,"5,012",2.751,2.535,2.772,0.877,130,7.5,11.5,0.005260,0.588,96.92,53.312,0.64222
61,JOURNAL OF VEGETATION SCIENCE,J VEG SCI,1100-9233,"8,371",2.698,2.488,3.177,0.459,111,12.9,10.5,0.006850,0.950,100.00,77.184,0.83605
62,PLANTA MEDICA,PLANTA MED,0032-0943,"13,250",2.687,2.593,2.890,0.803,137,13.0,7.7,0.005670,0.531,84.67,62.355,0.69229
63,JOURNAL OF PLANT GROWTH REGULATION,J PLANT GROWTH REGUL,0721-7595,"3,684",2.672,2.512,2.962,0.984,129,7.2,10.0,0.003220,0.570,94.57,73.291,0.39399
64,FUNCTIONAL PLANT BIOLOGY,FUNCT PLANT BIOL,1445-4408,"5,720",2.617,2.542,2.729,0.576,92,9.5,10.2,0.004400,0.649,90.22,72.863,0.53779
65,Agronomy-Basel,AGRONOMY-BASEL,****-****,"2,209",2.603,2.157,Not Available,0.521,886,2.1,8.7,0.003260,Not Available,93.00,76.603,0.39878
66,APPLIED VEGETATION SCIENCE,APPL VEG SCI,1402-2001,"2,202",2.574,2.328,2.903,0.780,50,7.0,11.5,0.002860,0.710,100.00,74.207,0.34908
67,PHOTOSYNTHETICA,PHOTOSYNTHETICA,0300-3604,"3,934",2.562,2.256,2.838,0.383,128,9.4,10.8,0.002840,0.514,97.66,71.581,0.34737
68,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,PERSPECT PLANT ECOL,1433-8319,"2,403",2.540,2.460,3.226,0.333,45,8.9,10.6,0.002880,1.034,86.67,66.976,0.35188
69,Alpine Botany,ALPINE BOT,1664-2201,263,2.515,2.273,2.563,0.063,16,4.6,12.2,0.000860,0.859,100.00,70.726,0.10584
70,Fottea,FOTTEA,1802-5439,450,2.465,2.163,2.067,0.500,14,6.1,11.3,0.000740,0.567,100.00,70.299,0.09081
71,PLANT GROWTH REGULATION,PLANT GROWTH REGUL,0167-6903,"5,745",2.388,2.190,2.871,0.559,93,10.4,8.8,0.004040,0.537,91.40,69.872,0.49396
72,VEGETATION HISTORY AND ARCHAEOBOTANY,VEG HIST ARCHAEOBOT,0939-6314,"1,939",2.364,2.071,2.423,0.542,48,9.4,14.3,0.002310,0.705,95.83,77.904,0.28247
73,JOURNAL OF PHYCOLOGY,J PHYCOL,0022-3646,"9,591",2.328,2.099,2.969,0.788,113,15.4,11.5,0.004980,0.825,100.00,73.424,0.60768
74,PHYCOLOGIA,PHYCOLOGIA,0031-8884,"2,957",2.276,2.073,2.113,1.111,63,14.1,11.7,0.002070,0.531,85.71,71.323,0.25281
75,Journal of Ethnobiology and Ethnomedicine,J ETHNOBIOL ETHNOMED,****-****,"2,479",2.264,1.824,2.842,0.414,70,6.5,10.2,0.002300,0.499,97.14,56.386,0.28145
76,WEED SCIENCE,WEED SCI,0043-1745,"5,632",2.258,1.840,2.441,0.426,68,14.7,10.5,0.003020,0.580,97.06,73.153,0.36923
77,Journal of Berry Research,J BERRY RES,1878-5093,391,2.208,2.021,2.495,0.128,47,3.9,9.3,0.000600,0.432,95.74,67.308,0.07384
78,PLANT CELL TISSUE AND ORGAN CULTURE,PLANT CELL TISS ORG,0167-6857,"6,779",2.196,1.794,2.329,0.431,209,8.2,9.8,0.005720,0.424,95.22,53.152,0.69817
79,JOURNAL OF PLANT RESEARCH,J PLANT RES,0918-9440,"2,867",2.185,1.966,2.339,0.687,67,8.3,11.2,0.003470,0.629,100.00,66.453,0.42367
80,AoB Plants,AOB PLANTS,2041-2851,"1,840",2.182,2.157,2.918,0.462,78,4.6,10.4,0.004840,0.806,94.87,59.054,0.59128
81,PLANT PATHOLOGY,PLANT PATHOL,0032-0862,"6,975",2.169,1.985,2.432,0.595,163,9.8,10.4,0.005920,0.600,92.02,71.535,0.72260
82,PLANT BIOLOGY,PLANT BIOLOGY,1435-8603,"5,253",2.167,2.088,2.371,1.303,142,8.1,11.2,0.005440,0.616,93.66,65.171,0.66431
83,Botanical Studies,BOT STUD,****-****,"1,056",2.163,2.141,2.522,0.207,29,5.6,12.4,0.001650,0.535,100.00,64.744,0.20204
84,Journal of Soil Science and Plant Nutrition,J SOIL SCI PLANT NUT,0718-9508,"1,682",2.156,1.275,2.271,0.391,92,5.4,8.8,0.001650,0.331,96.74,52.195,0.20130
85,MOLECULAR BREEDING,MOL BREEDING,1380-3743,"5,756",2.149,1.993,2.574,0.415,176,6.9,8.7,0.007200,0.600,95.45,65.215,0.87931
86,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,J PLANT NUTR SOIL SC,1436-8730,"4,638",2.083,1.988,2.823,0.258,97,10.2,11.4,0.003260,0.580,98.97,60.353,0.39869
87,Rhizosphere,RHIZOSPHERE-NETH,****-****,297,2.079,1.921,Not Available,0.651,43,2.3,9.7,0.000000,Not Available,95.35,51.912,Not Available
88,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,BOT J LINN SOC,0024-4074,"5,099",2.076,1.670,2.557,0.653,75,10.6,13.5,0.005350,0.782,96.00,62.607,0.65301
89,PHYTOPATHOLOGIA MEDITERRANEA,PHYTOPATHOL MEDITERR,0031-9465,"1,487",2.037,1.695,1.862,0.158,57,8.7,10.7,0.001010,0.369,94.74,67.079,0.12339
90,WEED RESEARCH,WEED RES,0043-1737,"2,946",2.011,1.724,1.927,0.348,46,14.2,10.4,0.001480,0.452,93.48,66.316,0.18169
91,PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS,PHYSIOL MOL BIOL PLA,0971-5894,"1,422",2.005,1.929,2.016,0.339,121,5.3,10.4,0.001760,0.365,95.04,61.325,0.21524
92,BOTHALIA,BOTHALIA,0006-8241,524,1.982,1.772,1.588,0.176,34,14.0,11.4,0.000490,0.402,94.12,60.897,0.06006
93,ANNALS OF THE MISSOURI BOTANICAL GARDEN,ANN MO BOT GARD,0026-6493,"2,540",1.942,1.904,2.112,0.625,24,25.2,15.2,0.000900,0.729,95.83,60.470,0.11001
94,ECONOMIC BOTANY,ECON BOT,0013-0001,"2,876",1.867,1.400,1.775,0.265,34,21.0,10.5,0.000520,0.293,94.12,60.043,0.06414
95,BREEDING SCIENCE,BREEDING SCI,1344-7610,"2,102",1.865,1.667,2.506,0.160,75,8.1,10.5,0.002410,0.602,92.00,63.599,0.29492
96,Plant Diversity,PLANT DIVERSITY,2096-2703,260,1.864,1.593,Not Available,0.872,39,2.5,9.6,0.000750,Not Available,82.05,59.188,0.09205
97,Journal of Applied Research on Medicinal and Aromatic Plants,J APPL RES MED AROMA,****-****,386,1.857,1.714,Not Available,0.303,33,2.9,9.9,0.000720,Not Available,93.94,58.761,0.08861
98,Journal of Plant Ecology,J PLANT ECOL,1752-9921,"1,810",1.833,1.737,2.299,0.396,101,5.8,11.2,0.003000,0.619,99.01,56.332,0.36699
99,PLANT SPECIES BIOLOGY,PLANT SPEC BIOL,0913-557X,741,1.828,1.724,1.535,0.500,14,9.9,13.1,0.000790,0.405,100.00,50.233,0.09673
100,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,IN VITRO CELL DEV-PL,1054-5476,"2,385",1.814,1.713,1.706,0.214,70,11.2,11.4,0.001620,0.360,95.71,33.723,0.19822
101,SOUTH AFRICAN JOURNAL OF BOTANY,S AFR J BOT,0254-6299,"5,088",1.792,1.606,2.061,0.643,412,6.4,10.2,0.004530,0.348,91.50,57.051,0.55332
102,CRYPTOGAMIE ALGOLOGIE,CRYPTOGAMIE ALGOL,0181-1568,532,1.791,1.721,1.565,0.200,10,9.1,12.4,0.000610,0.451,100.00,61.095,0.07508
103,PLANT BIOSYSTEMS,PLANT BIOSYST,1126-3504,"2,049",1.787,1.614,1.473,0.820,100,6.0,12.3,0.002700,0.332,99.00,56.197,0.32946
104,ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,0137-5881,"6,492",1.760,1.682,2.078,0.260,196,6.4,9.6,0.006720,0.386,96.43,55.769,0.82023
105,Plant Direct,PLANT DIRECT,****-****,184,1.725,1.692,1.725,0.299,87,1.5,9.4,0.000620,0.548,100.00,55.342,0.07675
106,AQUATIC BOTANY,AQUAT BOT,0304-3770,"5,292",1.710,1.585,1.900,0.679,53,14.4,13.7,0.002580,0.455,100.00,58.353,0.31486
107,SEED SCIENCE RESEARCH,SEED SCI RES,0960-2585,"1,793",1.681,1.486,2.070,0.133,30,14.3,13.5,0.001150,0.533,90.00,54.487,0.14110
108,Plant Signaling & Behavior,PLANT SIGNAL BEHAV,1559-2316,"8,071",1.671,1.601,Not Available,0.363,171,7.8,8.3,0.007530,Not Available,89.47,35.027,0.91957
109,BOTANICAL REVIEW,BOT REV,0006-8101,"2,418",1.667,1.667,2.697,0.917,12,24.5,14.4,0.000540,0.652,75.00,53.632,0.06625
110,PLANT BREEDING,PLANT BREEDING,0179-9541,"3,672",1.662,1.557,1.626,0.578,90,10.9,9.8,0.002480,0.399,86.67,45.742,0.30376
111,BRYOLOGIST,BRYOLOGIST,0007-2745,"1,316",1.653,1.347,1.522,0.171,41,16.6,12.2,0.000970,0.491,97.56,52.778,0.11885
112,PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,PHYSIOL MOL PLANT P,0885-5765,"2,525",1.646,1.583,1.616,0.538,80,14.5,10.4,0.001330,0.336,93.75,52.350,0.16314
113,EUPHYTICA,EUPHYTICA,0014-2336,"10,875",1.614,1.500,1.883,0.313,208,12.2,10.4,0.007090,0.428,96.63,60.882,0.86575
114,BIOLOGIA PLANTARUM,BIOL PLANTARUM,0006-3134,"3,870",1.601,1.522,1.898,0.278,90,11.6,11.1,0.002080,0.356,94.44,51.496,0.25404
115,Applications in Plant Sciences,APPL PLANT SCI,2168-0450,"1,048",1.591,1.439,1.914,0.969,65,4.2,7.5,0.002960,0.533,100.00,51.068,0.36195
115,FLORA,FLORA,0367-2530,"3,060",1.591,1.339,1.616,0.490,151,9.0,12.2,0.002670,0.363,95.36,43.838,0.32634
117,EUROPEAN JOURNAL OF PLANT PATHOLOGY,EUR J PLANT PATHOL,0929-1873,"6,350",1.582,1.418,1.732,0.411,309,8.6,10.7,0.006090,0.401,96.76,58.094,0.74363
118,Plant Pathology Journal,PLANT PATHOLOGY J,1598-2254,"1,127",1.570,1.508,1.775,0.141,71,6.1,10.8,0.001500,0.389,98.59,60.669,0.18389
119,Tropical Plant Biology,TROP PLANT BIOL,1935-9756,362,1.563,1.313,1.675,0.231,26,7.3,8.9,0.000310,0.313,92.31,49.359,0.03862
120,JOURNAL OF PLANT BIOLOGY,J PLANT BIOL,1226-9239,"1,320",1.529,1.510,2.098,0.381,42,7.4,9.1,0.001560,0.488,78.57,48.932,0.19092
121,Journal of Plant Diseases and Protection,J PLANT DIS PROTECT,1861-3829,645,1.526,1.496,1.211,0.225,71,6.4,11.7,0.000880,0.286,94.37,58.304,0.10848
122,Horticultural Plant Journal,HORTIC PLANT J,2095-9885,212,1.524,1.302,Not Available,0.484,31,2.9,8.7,0.000400,Not Available,93.55,53.900,0.04977
123,PLANT ECOLOGY,PLANT ECOL,1385-0237,"5,875",1.509,1.482,1.852,0.287,87,11.7,11.7,0.003800,0.500,100.00,42.628,0.46362
124,Plant Biotechnology Reports,PLANT BIOTECHNOL REP,1863-5466,760,1.462,1.321,1.512,0.556,63,6.3,8.2,0.000750,0.299,87.30,31.464,0.09266
125,Phytochemistry Letters,PHYTOCHEM LETT,1874-3900,"2,711",1.459,1.346,1.601,0.312,231,4.5,9.3,0.004600,0.314,99.57,32.824,0.56156
126,SOIL SCIENCE AND PLANT NUTRITION,SOIL SCI PLANT NUTR,0038-0768,"3,365",1.432,1.316,1.720,0.265,68,12.6,11.1,0.001940,0.370,95.59,31.396,0.23669
127,REVIEW OF PALAEOBOTANY AND PALYNOLOGY,REV PALAEOBOT PALYNO,0034-6667,"5,153",1.425,1.175,1.875,0.463,95,12.9,15.4,0.003480,0.520,93.68,45.243,0.42479
128,AUSTRALASIAN PLANT PATHOLOGY,AUSTRALAS PLANT PATH,0815-3191,"1,862",1.423,1.307,1.368,0.391,69,10.3,11.1,0.001380,0.312,94.20,45.513,0.16884
129,PHYTOCOENOLOGIA,PHYTOCOENOLOGIA,0340-269X,581,1.404,1.021,1.434,0.737,19,12.8,14.8,0.000410,0.312,100.00,37.572,0.05087
130,European Journal of Taxonomy,EUR J TAXON,2118-9773,600,1.393,1.328,1.167,0.306,98,2.7,19.2,0.002210,0.424,91.84,53.473,0.27005
131,AUSTRALIAN JOURNAL OF BOTANY,AUST J BOT,0067-1924,"3,474",1.386,1.260,1.404,0.347,49,14.0,12.8,0.001520,0.359,95.92,44.231,0.18616
132,BOTANICA MARINA,BOT MAR,0006-8055,"2,297",1.381,1.248,1.383,0.200,50,16.3,11.0,0.001020,0.334,68.00,44.307,0.12490
133,LICHENOLOGIST,LICHENOLOGIST,0024-2829,"1,226",1.360,1.112,1.363,0.387,31,11.7,12.1,0.001120,0.375,100.00,27.723,0.13696
134,JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,J ASIAN NAT PROD RES,1028-6020,"2,476",1.345,1.261,1.237,0.528,142,7.2,9.9,0.002200,0.232,99.30,27.006,0.26849
135,Tropical Plant Pathology,TROP PLANT PATHOL,1983-2052,761,1.338,1.262,1.242,0.361,61,5.8,11.2,0.001200,0.316,91.80,42.521,0.14710
136,PLANT MOLECULAR BIOLOGY REPORTER,PLANT MOL BIOL REP,0735-9640,"3,045",1.336,1.328,1.907,0.077,39,8.7,10.5,0.002600,0.415,100.00,27.216,0.31733
137,PALYNOLOGY,PALYNOLOGY,0191-6122,781,1.330,1.018,1.470,0.545,44,9.1,19.5,0.000860,0.376,93.18,39.470,0.10605
138,PLANT SYSTEMATICS AND EVOLUTION,PLANT SYST EVOL,0378-2697,"4,349",1.328,1.221,1.273,0.408,76,13.2,13.9,0.002990,0.354,97.37,29.120,0.36562
139,Records of Natural Products,REC NAT PROD,1307-6167,890,1.268,1.141,1.262,0.302,63,5.2,10.0,0.000940,0.195,98.41,28.658,0.11482
140,WEED TECHNOLOGY,WEED TECHNOL,0890-037X,"3,504",1.259,0.906,1.349,0.253,91,12.7,11.5,0.001540,0.244,98.90,44.093,0.18831
141,Theoretical and Experimental Plant Physiology,THEOR EXP PLANT PHYS,2197-0025,265,1.245,1.224,1.500,0.257,35,4.4,8.7,0.000460,0.305,91.43,39.957,0.05728
142,FOLIA GEOBOTANICA,FOLIA GEOBOT,1211-9520,942,1.242,1.212,1.372,0.071,14,13.4,12.9,0.000790,0.402,100.00,39.530,0.09663
143,CANADIAN JOURNAL OF PLANT PATHOLOGY,CAN J PLANT PATHOL,0706-0661,"1,919",1.236,1.057,1.420,0.157,127,13.6,10.7,0.001350,0.344,99.21,39.103,0.16510
144,PhytoKeys,PHYTOKEYS,1314-2011,659,1.225,1.044,1.222,0.239,142,3.3,13.2,0.001910,0.355,99.30,38.675,0.23421
145,RUSSIAN JOURNAL OF PLANT PHYSIOLOGY,RUSS J PLANT PHYSL+,1021-4437,"2,014",1.198,1.084,1.229,0.140,107,8.7,9.9,0.001280,0.197,88.79,38.248,0.15735
146,Plant Ecology & Diversity,PLANT ECOL DIVERS,1755-0874,808,1.196,1.152,1.699,0.167,18,5.7,11.3,0.001630,0.507,100.00,37.821,0.19988
147,JOURNAL OF PHYTOPATHOLOGY,J PHYTOPATHOL,0931-1785,"2,764",1.179,1.141,1.109,0.158,76,11.5,10.7,0.001780,0.251,98.68,37.393,0.21748
148,INTERNATIONAL JOURNAL OF PLANT SCIENCES,INT J PLANT SCI,1058-5893,"3,585",1.174,1.078,1.516,0.521,73,13.1,14.0,0.001890,0.469,97.26,36.966,0.23106
149,Notulae Botanicae Horti Agrobotanici Cluj-Napoca,NOT BOT HORTI AGROBO,0255-965X,"1,279",1.168,1.022,1.327,0.284,176,6.0,10.4,0.001100,0.199,96.59,36.538,0.13488
150,JOURNAL OF BRYOLOGY,J BRYOL,0373-6687,721,1.152,0.826,1.177,0.105,38,9.6,13.2,0.000970,0.371,100.00,36.111,0.11952
150,JOURNAL OF PLANT PATHOLOGY,J PLANT PATHOL,1125-4653,"1,804",1.152,1.088,1.273,0.381,113,8.9,11.4,0.001540,0.298,97.35,36.111,0.18799
152,Botany,BOTANY,1916-2790,"1,698",1.147,1.124,1.539,0.186,59,7.1,13.0,0.002320,0.408,96.61,35.256,0.28349
