"Journal Data Filtered By:  Selected Categories: PLANT SCIENCES Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"Frontiers in Plant Science","FRONT PLANT SCI","1664-462X","1664-462X","PLANT SCIENCES - SCIE","115,049","5.6","Q1","1.24","99.5"%," 27/239 ","6.8","Q1","4.8","0.8",
"JOURNAL OF NATURAL PRODUCTS","J NAT PROD","0163-3864","1520-6025","PLANT SCIENCES - SCIE","32,149","5.1","Q1","1.18","5.9"%," 33/239 ","4.5","Q1","4.8","1.1",
"Plants-Basel","PLANTS-BASEL","N/A","2223-7747","PLANT SCIENCES - SCIE","30,403","4.5","Q1","1.04","99.56"%," 43/239 ","4.8","Q1","4","1",
"PLANT PHYSIOLOGY AND BIOCHEMISTRY","PLANT PHYSIOL BIOCH","0981-9428","1873-2690","PLANT SCIENCES - SCIE","28,231","6.5","Q1","1.58","8.02"%," 21/239 ","6.4","Q1","6.3","1.3",
"BMC PLANT BIOLOGY","BMC PLANT BIOL","1471-2229","1471-2229","PLANT SCIENCES - SCIE","27,513","5.3","Q1","1.36","99.72"%," 31/239 ","5.9","Q1","5.1","1",
"Agronomy-Basel","AGRONOMY-BASEL","N/A","2073-4395","PLANT SCIENCES - SCIE","27,200","3.7","Q2","1.04","99.37"%," 60/239 ","4","Q2","3.2","0.9",
"ANNALS OF BOTANY","ANN BOT-LONDON","0305-7364","1095-8290","PLANT SCIENCES - SCIE","26,622","4.2","Q1","1.17","18.74"%," 48/239 ","4.9","Q1","4","1.3",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","PLANT SCIENCES - SCIE","25,634","5.4","Q1","1.41","28.85"%," 29/239 ","5.7","Q1","5","1.2",
"PLANT DISEASE","PLANT DIS","0191-2917","1943-7692","PLANT SCIENCES - SCIE","25,483","4.5","Q1","0.82","70.83"%," 43/239 ","5","Q1","3.9","1.8",
"Annual Review of Plant Biology","ANNU REV PLANT BIOL","1543-5008","1545-2123","PLANT SCIENCES - SCIE","25,199","23.9","Q1","2.58","1.14"%," 2/239 ","30.5","Q1","23.8","7.2",
"JOURNAL OF ECOLOGY","J ECOL","0022-0477","1365-2745","PLANT SCIENCES - SCIE","24,903","5.5","Q1","1.46","30.68"%," 28/239 ","6.3","Q1","5.2","1.1",
"PLANTA","PLANTA","0032-0935","1432-2048","PLANT SCIENCES - SCIE","24,849","4.3","Q1","0.98","17.48"%," 46/239 ","4.8","Q1","4.2","1.2",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","PLANT SCIENCES - SCIE","24,114","27.5","Q1","4.32","84.62"%," 1/239 ","22.6","Q1","26.9","6.6",
"PLANT SCIENCE","PLANT SCI","0168-9452","1873-2259","PLANT SCIENCES - SCIE","23,609","5.2","Q1","1.11","11.99"%," 32/239 ","5.7","Q1","5.1","1",
"PLANT AND CELL PHYSIOLOGY","PLANT CELL PHYSIOL","0032-0781","1471-9053","PLANT SCIENCES - SCIE","23,467","4.9","Q1","0.92","17.33"%," 37/239 ","5.7","Q1","4.7","1.2",
"PHYSIOLOGIA PLANTARUM","PHYSIOL PLANTARUM","0031-9317","1399-3054","PLANT SCIENCES - SCIE","20,604","6.4","Q1","1.53","11.76"%," 23/239 ","5.9","Q1","6.2","1.3",
"PHYTOMEDICINE","PHYTOMEDICINE","0944-7113","1618-095X","PLANT SCIENCES - SCIE","20,568","7.9","Q1","2.06","12.06"%," 13/239 ","6.8","Q1","7.5","1.5",
"PHYTOPATHOLOGY","PHYTOPATHOLOGY","0031-949X","1943-7684","PLANT SCIENCES - SCIE","19,296","3.2","Q2","0.97","63.27"%," 75/239 ","3.9","Q2","2.9","1",
"ENVIRONMENTAL AND EXPERIMENTAL BOTANY","ENVIRON EXP BOT","0098-8472","1873-7307","PLANT SCIENCES - SCIE","18,946","5.7","Q1","1.25","9.31"%," 25/239 ","6","Q1","5.4","1.3",
"PLANT BIOTECHNOLOGY JOURNAL","PLANT BIOTECHNOL J","1467-7644","1467-7652","PLANT SCIENCES - SCIE","18,869","13.8","Q1","2.44","73.14"%," 5/239 ","13.2","Q1","13.4","2.2",
"CURRENT OPINION IN PLANT BIOLOGY","CURR OPIN PLANT BIOL","1369-5266","1879-0356","PLANT SCIENCES - SCIE","18,673","9.5","Q1","0.96","41.41"%," 10/239 ","9.8","Q1","9.2","2.5",
"AMERICAN JOURNAL OF BOTANY","AM J BOT","0002-9122","1537-2197","PLANT SCIENCES - SCIE","18,561","3","Q2","0.81","30.04"%," 80/239 ","3.4","Q2","2.8","0.9",
"PLANT MOLECULAR BIOLOGY","PLANT MOL BIOL","0167-4412","1573-5028","PLANT SCIENCES - SCIE","18,290","5.1","Q1","1.03","14.4"%," 33/239 ","5.3","Q1","5","1.1",
"JOURNAL OF PLANT PHYSIOLOGY","J PLANT PHYSIOL","0176-1617","1618-1328","PLANT SCIENCES - SCIE","17,675","4.3","Q1","1","11.07"%," 46/239 ","4.5","Q1","4.1","0.9",
"Nature Plants","NAT PLANTS","2055-026X","2055-0278","PLANT SCIENCES - SCIE","15,172","18","Q1","4.56","12.35"%," 4/239 ","18.6","Q1","17.6","3.2",
"PLANTA MEDICA","PLANTA MED","0032-0943","1439-0221","PLANT SCIENCES - SCIE","15,014","2.7","Q2","0.69","4.63"%," 92/239 ","3.2","Q2","2.6","0.6",
"MOLECULAR PLANT-MICROBE INTERACTIONS","MOL PLANT MICROBE IN","0894-0282","1943-7706","PLANT SCIENCES - SCIE","13,589","3.5","Q2","0.78","99.08"%," 67/239 ","4.1","Q1","3.4","1.4",
"EUPHYTICA","EUPHYTICA","0014-2336","1573-5060","PLANT SCIENCES - SCIE","13,238","1.9","Q3","0.6","13.54"%," 129/239 ","2.1","Q2","1.8","0.5",
"PLANT CELL REPORTS","PLANT CELL REP","0721-7714","1432-203X","PLANT SCIENCES - SCIE","12,948","6.2","Q1","1.19","8.35"%," 24/239 ","5.9","Q1","6.1","0.8",
"Plant Signaling & Behavior","PLANT SIGNAL BEHAV","1559-2316","1559-2324","PLANT SCIENCES - SCIE","11,085","2.9","Q2","0.51","32.56"%," 84/239 ","2.9","Q2","2.8","0.7",
"MOLECULAR PLANT PATHOLOGY","MOL PLANT PATHOL","1464-6722","1364-3703","PLANT SCIENCES - SCIE","10,863","4.9","Q1","1.22","66.93"%," 37/239 ","5.9","Q1","4.7","1.1",
"SOUTH AFRICAN JOURNAL OF BOTANY","S AFR J BOT","0254-6299","1727-9321","PLANT SCIENCES - SCIE","10,683","3.1","Q2","0.81","40.14"%," 78/239 ","3.1","Q2","2.8","0.9",
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","1672-9072","1744-7909","PLANT SCIENCES - SCIE","10,416","11.4","Q1","1.87","19.82"%," 7/239 ","10.1","Q1","10.8","2.4",
"PHARMACEUTICAL BIOLOGY","PHARM BIOL","1388-0209","1744-5116","PLANT SCIENCES - SCIE","10,347","3.8","Q1","1.11","95.64"%," 58/239 ","4.4","Q1","3.7","1.2",
"Annual Review of Phytopathology","ANNU REV PHYTOPATHOL","0066-4286","1545-2107","PLANT SCIENCES - SCIE","10,292","10.2","Q1","1.01","0"%," 9/239 ","17.6","Q1","10.1","2.9",
"ACTA PHYSIOLOGIAE PLANTARUM","ACTA PHYSIOL PLANT","0137-5881","1861-1664","PLANT SCIENCES - SCIE","9,768","2.6","Q2","0.69","6.47"%," 98/239 ","2.9","Q2","2.5","0.7",
"JOURNAL OF PHYCOLOGY","J PHYCOL","0022-3646","1529-8817","PLANT SCIENCES - SCIE","9,713","2.9","Q2","0.89","13.31"%," 84/239 ","2.8","Q2","2.8","0.6",
"PLANT CELL TISSUE AND ORGAN CULTURE","PLANT CELL TISS ORG","0167-6857","1573-5044","PLANT SCIENCES - SCIE","9,591","3","Q2","0.66","9.5"%," 80/239 ","3","Q2","2.6","0.7",
"JOURNAL OF PLANT NUTRITION","J PLANT NUTR","0190-4167","1532-4087","PLANT SCIENCES - SCIE","9,171","2.1","Q2","0.51","1.45"%," 117/239 ","2.4","Q2","2","0.4",
"JOURNAL OF VEGETATION SCIENCE","J VEG SCI","1100-9233","1654-1103","PLANT SCIENCES - SCIE","9,139","2.8","Q2","0.89","18.67"%," 89/239 ","2.9","Q2","2.7","0.3",
"COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS","COMMUN SOIL SCI PLAN","0010-3624","1532-2416","PLANT SCIENCES - SCIE","9,052","1.8","Q3","0.42","1.3"%," 138/239 ","1.8","Q3","1.7","0.3",
"PLANT PATHOLOGY","PLANT PATHOL","0032-0862","1365-3059","PLANT SCIENCES - SCIE","9,030","2.7","Q2","0.71","15.69"%," 92/239 ","2.8","Q2","2.5","0.6",
"EUROPEAN JOURNAL OF PLANT PATHOLOGY","EUR J PLANT PATHOL","0929-1873","1573-8469","PLANT SCIENCES - SCIE","8,730","1.8","Q3","0.63","13.19"%," 138/239 ","2","Q3","1.7","0.7",
"PHOTOSYNTHESIS RESEARCH","PHOTOSYNTH RES","0166-8595","1573-5079","PLANT SCIENCES - SCIE","8,275","3.7","Q2","1.02","22.59"%," 60/239 ","3.6","Q2","3.4","0.9",
"JOURNAL OF PLANT GROWTH REGULATION","J PLANT GROWTH REGUL","0721-7595","1435-8107","PLANT SCIENCES - SCIE","8,248","4.8","Q1","1.17","6.13"%," 40/239 ","4.8","Q1","4.5","1",
"PLANT GROWTH REGULATION","PLANT GROWTH REGUL","0167-6903","1573-5087","PLANT SCIENCES - SCIE","8,192","4.2","Q1","0.79","7.3"%," 48/239 ","4","Q2","3.8","1.2",
"Phytotaxa","PHYTOTAXA","1179-3155","1179-3163","PLANT SCIENCES - SCIE","8,124","1.1","Q4","0.31","0"%," 182/239 ","1.1","Q4","0.8","0.3",
"Horticulture Research","HORTIC RES-ENGLAND","2662-6810","2052-7276","PLANT SCIENCES - SCIE","7,792","8.7","Q1","2.21","92.76"%," 12/239 ","9","Q1","8.1","1.8",
"PLANT BIOLOGY","PLANT BIOLOGY","1435-8603","1438-8677","PLANT SCIENCES - SCIE","7,474","3.9","Q1","0.85","10.09"%," 53/239 ","3.6","Q2","3.8","1.1",
"FUNCTIONAL PLANT BIOLOGY","FUNCT PLANT BIOL","1445-4408","1445-4416","PLANT SCIENCES - SCIE","7,302","3","Q2","0.73","13.07"%," 80/239 ","3.1","Q2","2.9","0.9",
"MOLECULAR BREEDING","MOL BREEDING","1380-3743","1572-9788","PLANT SCIENCES - SCIE","7,105","3.1","Q2","0.88","10"%," 78/239 ","3.1","Q2","2.9","0.8",
"Plant Methods","PLANT METHODS","N/A","1746-4811","PLANT SCIENCES - SCIE","6,541","5.1","Q1","1.32","99.29"%," 33/239 ","6.1","Q1","4.9","1.3",
"PROTOPLASMA","PROTOPLASMA","0033-183X","1615-6102","PLANT SCIENCES - SCIE","6,495","2.9","Q2","0.59","12.14"%," 84/239 ","3.3","Q2","2.7","0.8",
"PLANT ECOLOGY","PLANT ECOL","1385-0237","1573-5052","PLANT SCIENCES - SCIE","6,319","1.7","Q3","0.52","14.58"%," 143/239 ","2","Q3","1.7","0.6",
"PAKISTAN JOURNAL OF BOTANY","PAK J BOT","0556-3321","2070-3368","PLANT SCIENCES - SCIE","6,136","1.2","Q3","0.34","0"%," 175/239 ","1.1","Q4","1.1","0.5",
"REVIEW OF PALAEOBOTANY AND PALYNOLOGY","REV PALAEOBOT PALYNO","0034-6667","1879-0615","PLANT SCIENCES - SCIE","6,107","1.9","Q3","0.74","19.34"%," 129/239 ","1.8","Q3","1.5","0.6",
"BOTANICAL JOURNAL OF THE LINNEAN SOCIETY","BOT J LINN SOC","0024-4074","1095-8339","PLANT SCIENCES - SCIE","6,009","2.4","Q2","0.69","9.93"%," 106/239 ","2.5","Q2","2.2","1",
"TAXON","TAXON","0040-0262","1996-8175","PLANT SCIENCES - SCIE","5,948","3.4","Q2","0.6","17.52"%," 69/239 ","3.4","Q2","3.1","0.9",
"AQUATIC BOTANY","AQUAT BOT","0304-3770","1879-1522","PLANT SCIENCES - SCIE","5,835","1.8","Q3","0.6","12.94"%," 138/239 ","2","Q3","1.7","0.4",
"WEED SCIENCE","WEED SCI","0043-1745","1550-2759","PLANT SCIENCES - SCIE","5,828","2.5","Q2","0.79","37.07"%," 102/239 ","2.7","Q2","2.2","0.4",
"JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE","J PLANT NUTR SOIL SC","1436-8730","1522-2624","PLANT SCIENCES - SCIE","5,703","2.5","Q2","0.64","45.45"%," 102/239 ","2.8","Q2","2.3","0.7",
"Journal of Soil Science and Plant Nutrition","J SOIL SCI PLANT NUT","0718-9508","0718-9516","PLANT SCIENCES - SCIE","5,607","3.9","Q1","0.81","6.73"%," 53/239 ","3.9","Q2","3.5","0.9",
"PHYTOCHEMISTRY REVIEWS","PHYTOCHEM REV","1568-7767","1572-980X","PLANT SCIENCES - SCIE","5,449","7.7","Q1","1.36","22.34"%," 14/239 ","7.7","Q1","7.5","2.7",
"PHOTOSYNTHETICA","PHOTOSYNTHETICA","0300-3604","1573-9058","PLANT SCIENCES - SCIE","5,223","2.7","Q2","0.65","98.76"%," 92/239 ","3.2","Q2","2.5","0.7",
"GENETIC RESOURCES AND CROP EVOLUTION","GENET RESOUR CROP EV","0925-9864","1573-5109","PLANT SCIENCES - SCIE","5,150","2","Q3","0.56","9.93"%," 122/239 ","1.9","Q3","1.8","0.4",
"CANADIAN JOURNAL OF PLANT SCIENCE","CAN J PLANT SCI","0008-4220","1918-1833","PLANT SCIENCES - SCIE","5,101","1.2","Q3","0.37","28.98"%," 175/239 ","1.5","Q3","1.1","0.3",
"PLANT SYSTEMATICS AND EVOLUTION","PLANT SYST EVOL","0378-2697","1615-6110","PLANT SCIENCES - SCIE","5,046","1.9","Q3","0.45","10.2"%," 129/239 ","1.8","Q3","1.6","0.8",
"PLANT FOODS FOR HUMAN NUTRITION","PLANT FOOD HUM NUTR","0921-9668","1573-9104","PLANT SCIENCES - SCIE","4,945","4","Q1","0.75","9.51"%," 51/239 ","4.4","Q1","3.7","0.7",
"MYCORRHIZA","MYCORRHIZA","0940-6360","1432-1890","PLANT SCIENCES - SCIE","4,917","3.9","Q1","1.02","22.22"%," 53/239 ","4.3","Q1","3.8","1",
"SOIL SCIENCE AND PLANT NUTRITION","SOIL SCI PLANT NUTR","0038-0768","1747-0765","PLANT SCIENCES - SCIE","4,730","2","Q3","0.35","4.31"%," 122/239 ","2.4","Q2","1.7","0.6",
"CRITICAL REVIEWS IN PLANT SCIENCES","CRIT REV PLANT SCI","0735-2689","1549-7836","PLANT SCIENCES - SCIE","4,640","6.9","Q1","0.61","15.52"%," 18/239 ","8.5","Q1","6.8","1.2",
"BIOLOGIA PLANTARUM","BIOL PLANTARUM","0006-3134","1573-8264","PLANT SCIENCES - SCIE","4,549","1.5","Q3","0.31","100"%," 154/239 ","2","Q3","1.5","0.2",
"PLANT BREEDING","PLANT BREEDING","0179-9541","1439-0523","PLANT SCIENCES - SCIE","4,517","2","Q3","0.44","14.24"%," 122/239 ","2.1","Q2","1.9","0.3",
"Crop Journal","CROP J","2095-5421","2214-5141","PLANT SCIENCES - SCIE","4,496","6.6","Q1","1.66","93.41"%," 20/239 ","6.5","Q1","6.4","2.7",
"Journal of Ethnobiology and Ethnomedicine","J ETHNOBIOL ETHNOMED","N/A","1746-4269","PLANT SCIENCES - SCIE","4,222","3.6","Q2","0.85","99.53"%," 64/239 ","4.2","Q1","3","0.7",
"INTERNATIONAL JOURNAL OF PLANT SCIENCES","INT J PLANT SCI","1058-5893","1537-5315","PLANT SCIENCES - SCIE","4,141","2.3","Q2","0.64","10.17"%," 112/239 ","2","Q3","2.2","0.5",
"PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS","PHYSIOL MOL BIOL PLA","0971-5894","0974-0430","PLANT SCIENCES - SCIE","4,132","3.5","Q2","0.82","3.51"%," 67/239 ","3.9","Q2","3.5","0.8",
"WEED TECHNOLOGY","WEED TECHNOL","0890-037X","1550-2740","PLANT SCIENCES - SCIE","4,031","1.4","Q3","0.51","39.52"%," 160/239 ","1.7","Q3","1.1","0.3",
"FLORA","FLORA","0367-2530","1618-0585","PLANT SCIENCES - SCIE","4,007","1.9","Q3","0.36","6.22"%," 129/239 ","2","Q3","1.7","0.3",
"JOURNAL OF PLANT RESEARCH","J PLANT RES","0918-9440","1618-0860","PLANT SCIENCES - SCIE","3,991","2.8","Q2","0.79","18.38"%," 89/239 ","3","Q2","2.7","0.8",
"Phytochemistry Letters","PHYTOCHEM LETT","1874-3900","1876-7486","PLANT SCIENCES - SCIE","3,979","1.7","Q3","0.5","3.89"%," 143/239 ","1.8","Q3","1.5","0.4",
"PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY","PHYSIOL MOL PLANT P","0885-5765","0885-5765","PLANT SCIENCES - SCIE","3,864","2.7","Q2","0.76","6.7"%," 92/239 ","2.9","Q2","2.5","0.7",
"PHYTOCHEMICAL ANALYSIS","PHYTOCHEM ANALYSIS","0958-0344","1099-1565","PLANT SCIENCES - SCIE","3,863","3.3","Q2","0.75","6.13"%," 74/239 ","3.2","Q2","3.1","0.4",
"JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH","J ASIAN NAT PROD RES","1028-6020","1477-2213","PLANT SCIENCES - SCIE","3,655","1.7","Q3","0.4","0.21"%," 143/239 ","1.7","Q3","1.6","0.3",
"JOURNAL OF PHYTOPATHOLOGY","J PHYTOPATHOL","0931-1785","1439-0434","PLANT SCIENCES - SCIE","3,617","1.5","Q3","0.42","4.45"%," 154/239 ","1.8","Q3","1.5","0.3",
"AUSTRALIAN JOURNAL OF BOTANY","AUST J BOT","0067-1924","1444-9862","PLANT SCIENCES - SCIE","3,575","1.1","Q4","0.34","29.1"%," 182/239 ","1.4","Q3","0.9","0.2",
"PLANT MOLECULAR BIOLOGY REPORTER","PLANT MOL BIOL REP","0735-9640","1572-9818","PLANT SCIENCES - SCIE","3,566","2.1","Q2","0.47","11.11"%," 117/239 ","2","Q3","2.1","0.4",
"IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT","IN VITRO CELL DEV-PL","1054-5476","1475-2689","PLANT SCIENCES - SCIE","3,544","2.6","Q2","0.54","8.16"%," 98/239 ","2.7","Q2","2.4","0.6",
"ECONOMIC BOTANY","ECON BOT","0013-0001","1874-9364","PLANT SCIENCES - SCIE","3,390","2.6","Q2","0.54","25"%," 98/239 ","2.7","Q2","2.5","0.2",
"Journal of Essential Oil Bearing Plants","J ESSENT OIL BEAR PL","0972-060X","0976-5026","PLANT SCIENCES - SCIE","3,323","2.4","Q2","0.59","0"%," 106/239 ","2.2","Q2","1.7","0.7",
"PHYCOLOGIA","PHYCOLOGIA","0031-8884","2330-2968","PLANT SCIENCES - SCIE","3,177","1.6","Q3","0.58","3.78"%," 149/239 ","2.3","Q2","1.3","0.4",
"Plant Genome","PLANT GENOME-US","N/A","1940-3372","PLANT SCIENCES - SCIE","3,117","4.2","Q1","1.08","82.13"%," 48/239 ","4.7","Q1","4","0.6",
"WEED RESEARCH","WEED RES","0043-1737","1365-3180","PLANT SCIENCES - SCIE","3,111","1.7","Q3","0.56","14.18"%," 143/239 ","2.1","Q2","1.7","0.7",
"BOTANICAL REVIEW","BOT REV","0006-8101","1874-9372","PLANT SCIENCES - SCIE","3,015","4","Q1","0.74","11.29"%," 51/239 ","4.1","Q1","4","0.9",
"SYSTEMATIC BOTANY","SYST BOT","0363-6445","1548-2324","PLANT SCIENCES - SCIE","2,999","1","Q4","0.27","2.55"%," 190/239 ","1.2","Q4","0.9","0.3",
"PLANT BIOSYSTEMS","PLANT BIOSYST","1126-3504","1724-5575","PLANT SCIENCES - SCIE","2,997","2","Q3","0.48","2.5"%," 122/239 ","2","Q3","2","0.7",
"Journal of Plant Ecology","J PLANT ECOL","1752-9921","1752-993X","PLANT SCIENCES - SCIE","2,964","2.7","Q2","0.65","36.59"%," 92/239 ","2.6","Q2","2.2","1.5",
"RUSSIAN JOURNAL OF PLANT PHYSIOLOGY","RUSS J PLANT PHYSL+","1021-4437","1608-3407","PLANT SCIENCES - SCIE","2,926","1.4","Q3","0.32","4.24"%," 160/239 ","1.6","Q3","1.2","0.2",
"AoB Plants","AOB PLANTS","2041-2851","2041-2851","PLANT SCIENCES - SCIE","2,914","2.9","Q2","0.76","95.69"%," 84/239 ","3.4","Q2","2.9","0.4",
"ANNALS OF THE MISSOURI BOTANICAL GARDEN","ANN MO BOT GARD","0026-6493","2162-4372","PLANT SCIENCES - SCIE","2,865","1.9","Q3","0.51","1.96"%," 129/239 ","1.9","Q3","1.9","0.2",
"JOURNAL OF PLANT PATHOLOGY","J PLANT PATHOL","1125-4653","2239-7264","PLANT SCIENCES - SCIE","2,838","2.2","Q2","0.37","7.52"%," 114/239 ","2.1","Q2","2.1","0.5",
"BREEDING SCIENCE","BREEDING SCI","1344-7610","1347-3735","PLANT SCIENCES - SCIE","2,831","2.4","Q2","0.51","97.65"%," 106/239 ","2.8","Q2","2.3","0.6",
"Journal of Plant Interactions","J PLANT INTERACT","1742-9145","1742-9153","PLANT SCIENCES - SCIE","2,797","3.2","Q2","0.9","97.73"%," 75/239 ","5.1","Q1","3","1",
"Journal of Systematics and Evolution","J SYST EVOL","1674-4918","1759-6831","PLANT SCIENCES - SCIE","2,788","3.7","Q2","1.02","12.25"%," 60/239 ","3.8","Q2","3.4","1.2",
"APPLIED VEGETATION SCIENCE","APPL VEG SCI","1402-2001","1654-109X","PLANT SCIENCES - SCIE","2,787","2.8","Q2","0.85","22.65"%," 89/239 ","2.9","Q2","2.5","0.6",
"PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS","PERSPECT PLANT ECOL","1433-8319","1433-8319","PLANT SCIENCES - SCIE","2,704","3.6","Q2","0.84","16.47"%," 64/239 ","3.6","Q2","3.6","1",
"EUROPEAN JOURNAL OF PHYCOLOGY","EUR J PHYCOL","0967-0262","1469-4433","PLANT SCIENCES - SCIE","2,659","2.4","Q2","0.78","5.67"%," 106/239 ","3.3","Q2","2.3","0.7",
"CANADIAN JOURNAL OF PLANT PATHOLOGY","CAN J PLANT PATHOL","0706-0661","1715-2992","PLANT SCIENCES - SCIE","2,613","2","Q3","0.47","17.39"%," 122/239 ","2","Q3","1.9","0.3",
"BOTANICA MARINA","BOT MAR","0006-8055","1437-4323","PLANT SCIENCES - SCIE","2,593","2.2","Q2","0.43","11.81"%," 114/239 ","2","Q3","2.1","0.4",
"Notulae Botanicae Horti Agrobotanici Cluj-Napoca","NOT BOT HORTI AGROBO","0255-965X","1842-4309","PLANT SCIENCES - SCIE","2,536","1.8","Q3","0.4","82.1"%," 138/239 ","1.9","Q3","1.8","0.4",
"VEGETATION HISTORY AND ARCHAEOBOTANY","VEG HIST ARCHAEOBOT","0939-6314","1617-6278","PLANT SCIENCES - SCIE","2,491","2.5","Q2","0.86","34.38"%," 102/239 ","2.7","Q2","2.3","0.4",
"AUSTRALASIAN PLANT PATHOLOGY","AUSTRALAS PLANT PATH","0815-3191","1448-6032","PLANT SCIENCES - SCIE","2,484","1.4","Q3","0.36","9.87"%," 160/239 ","1.7","Q3","1.4","0.4",
"PHYTOPATHOLOGIA MEDITERRANEA","PHYTOPATHOL MEDITERR","0031-9465","1593-2095","PLANT SCIENCES - SCIE","2,247","2.4","Q2","0.51","61.24"%," 106/239 ","2.8","Q2","2.2","0.5",
"Rice Science","RICE SCI","1672-6308","1876-4762","PLANT SCIENCES - SCIE","2,116","4.8","Q1","1.03","97.74"%," 40/239 ","5.5","Q1","4.5","1.6",
"Plant Pathology Journal","PLANT PATHOLOGY J","1598-2254","2093-9280","PLANT SCIENCES - SCIE","2,089","2.3","Q2","0.59","98.46"%," 112/239 ","2.7","Q2","2.2","0.4",
"PHYTOPARASITICA","PHYTOPARASITICA","0334-2123","1876-7184","PLANT SCIENCES - SCIE","2,088","1.4","Q3","0.56","4.55"%," 160/239 ","1.6","Q3","1.4","0.3",
"SEED SCIENCE RESEARCH","SEED SCI RES","0960-2585","1475-2735","PLANT SCIENCES - SCIE","2,084","2.1","Q2","0.45","14.29"%," 117/239 ","2.5","Q2","2","0.4",
"Botany","BOTANY","1916-2790","1916-2804","PLANT SCIENCES - SCIE","2,039","1.1","Q4","0.33","8.1"%," 182/239 ","1.4","Q3","1","0.3",
"JOURNAL OF PLANT BIOLOGY","J PLANT BIOL","1226-9239","1867-0725","PLANT SCIENCES - SCIE","2,035","2.9","Q2","0.63","3.36"%," 84/239 ","2.9","Q2","2.8","0.5",
"NOVA HEDWIGIA","NOVA HEDWIGIA","0029-5035","2363-7188","PLANT SCIENCES - SCIE","1,964","1","Q4","0.27","0"%," 190/239 ","1.1","Q4","0.8","0.2",
